TransactionID,Date,Year,Quarter,Month,Week,Day,State,City,ZipCode,Gender,AgeCat,AgentSince,Position,LotArea,Bedrooms,Bathrooms,Kitchens,Floors,ParkingArea,BuiltSince,Condition,ListingType,NumVisits,MaintenanceExp,AskedAmount,TransactionValue,CommissionRate,CommissionValue,NegotiationDays,ClosingDays
38,2023-12-06,2023,4,12,49,6,Texas,San Antonio,78255,Male,Adult,2,Broker Associate,977,1,1,1,1,113,71,Average,Rental,2,0,154191.0,855571.0,4.9,22785.0,80,848
39,2022-08-02,2022,3,8,31,2,North Carolina,Raleigh,27690,Male,Adult,1,Leasing Consultant,2806,4,4,2,1,77,60,Average,Rental,1,4622,614371.0,887071.0,5.4,25304.0,145,1300
40,2022-02-28,2022,1,2,9,28,Alabama,Gadsden,35905,Female,Middle Aged,4,Broker Associate,797,1,1,1,1,52,52,Average,Sale,2,8965,595328.0,984819.0,3.9,6761.0,42,609
41,2023-10-26,2023,4,10,43,26,Georgia,Columbus,31998,Male,Middle Aged,5,Property Manager,581,1,1,1,1,0,72,Poor,Rental,2,723,347752.0,258019.0,5.3,6320.0,63,261
42,2022-10-19,2022,4,10,42,19,Virginia,Richmond,23228,Female,Senior,5,Real Estate Agent,1474,3,3,1,1,209,67,Average,Sale,1,9424,369776.0,990639.0,5.0,25849.0,10,0
43,2024-02-19,2024,1,2,8,19,Michigan,Flint,48505,Female,Adult,4,Property Manager,1245,2,2,1,1,15,71,Excellent,Sale,1,8112,335767.0,860635.0,3.1,27413.0,147,699
44,2022-10-16,2022,4,10,42,16,Minnesota,Saint Paul,55108,Male,Middle Aged,5,Property Manager,997,1,1,1,1,77,70,Average,Sale,2,10053,950664.0,710933.0,2.6,43910.0,67,1361
45,2022-08-27,2022,3,8,35,27,Texas,El Paso,79994,Female,Senior,1,Real Estate Agent,4842,6,6,3,2,387,38,Average,Rental,1,0,930771.0,218406.0,4.2,35212.0,105,1127
46,2023-10-09,2023,4,10,41,9,South Dakota,Sioux Falls,57105,Male,Adult,3,Property Manager,3919,5,5,2,2,358,11,Excellent,Rental,0,6200,568383.0,460707.0,2.2,27431.0,0,0
47,2022-10-31,2022,4,10,44,31,Arkansas,Fort Smith,72916,Female,Senior,4,Leasing Consultant,840,1,1,1,1,131,34,Poor,Rental,2,0,908188.0,408291.0,5.0,3930.0,62,539
48,2022-10-31,2022,4,10,44,31,Tennessee,Memphis,38197,Female,Adult,2,Property Manager,3701,5,5,2,2,267,5,Average,Sale,1,6257,454621.0,411878.0,3.8,48129.0,102,252
49,2023-12-17,2023,4,12,51,17,Virginia,Norfolk,16327,Male,Senior,3,Leasing Consultant,3443,4,4,2,2,47,64,Average,Sale,0,0,380761.0,600320.0,5.9,7698.0,0,849
50,2023-04-04,2023,2,4,14,4,North Carolina,Greensboro,27415,Female,Senior,1,Broker Associate,4221,5,5,2,2,368,38,Average,Rental,2,8166,286513.0,551536.0,4.5,30100.0,112,266
51,2023-11-20,2023,4,11,47,20,Ohio,Cincinnati,45296,Male,Adult,2,Listing Coordinator,827,1,1,1,1,165,23,Average,Sale,0,6157,815638.0,505592.0,3.1,47608.0,0,243
52,2022-04-14,2022,2,4,15,14,California,Los Angeles,90076,Male,Middle Aged,4,Broker Associate,4572,6,6,3,2,281,19,Excellent,Sale,1,7645,704662.0,893651.0,4.2,7437.0,83,5
53,2023-07-01,2023,3,7,26,1,Pennsylvania,Valley Forge,19495,Male,Adult,3,Broker Associate,2477,4,4,2,1,120,52,Average,Rental,1,0,942432.0,607950.0,3.0,27727.0,7,520
54,2022-10-23,2022,4,10,43,23,Florida,Orlando,32819,Male,Middle Aged,2,Property Manager,4169,5,5,2,2,203,71,Average,Sale,1,3834,814513.0,286213.0,3.9,9374.0,40,1079
55,2024-01-12,2024,1,1,2,12,New Mexico,Albuquerque,87201,Male,Adult,5,Property Manager,1102,2,2,1,1,190,35,Average,Sale,0,16922,423378.0,260371.0,5.0,8471.0,0,431
56,2023-09-16,2023,3,9,37,16,Michigan,Detroit,48267,Male,Middle Aged,3,Real Estate Agent,4559,6,6,3,2,570,64,Average,Sale,0,959,997212.0,573796.0,4.2,28065.0,0,508
57,2023-05-20,2023,2,5,20,20,California,Los Angeles,90071,Female,Middle Aged,2,Real Estate Agent,2748,4,4,2,1,25,47,Average,Sale,0,2628,89946.0,752234.0,4.4,49148.0,0,929
58,2023-05-28,2023,2,5,22,28,Iowa,Des Moines,50330,Female,Middle Aged,1,Listing Coordinator,3570,4,4,2,2,370,10,Average,Sale,2,991,554706.0,197314.0,20.415682617553745,40283.0,159,420
59,2023-09-15,2023,3,9,37,15,Florida,Lake Worth,33467,Male,Senior,5,Real Estate Agent,2165,3,3,2,1,340,16,Poor,Sale,1,6166,252409.0,604437.0,3.7,30394.0,159,976
60,2024-01-29,2024,1,1,5,29,Nevada,Carson City,89706,Female,Adult,2,Leasing Consultant,2164,3,3,2,1,141,59,Excellent,Rental,0,9266,942694.0,759619.0,5.0,35037.0,0,1054
61,2023-06-04,2023,2,6,23,4,Oregon,Eugene,97405,Female,Senior,3,Broker Associate,1346,2,2,1,1,154,13,Poor,Rental,0,0,899985.0,178547.0,4.6,1348.0,0,0
62,2024-02-11,2024,1,2,6,11,Florida,Sarasota,34276,Male,Middle Aged,1,Listing Coordinator,3773,5,5,2,2,172,60,Poor,Rental,0,0,604107.0,229650.0,4.6,29180.0,0,1443
63,2022-10-08,2022,4,10,41,8,Florida,Pensacola,32575,Male,Adult,4,Leasing Consultant,2173,3,3,2,1,10,6,Excellent,Sale,1,9743,687632.0,371588.0,4.4,5737.0,113,198
64,2023-03-03,2023,1,3,9,3,Florida,Orlando,32819,Male,Adult,4,Broker Associate,4641,6,6,3,2,315,43,Excellent,Sale,1,0,132999.0,315758.0,2.8,24550.0,141,1185
65,2023-12-12,2023,4,12,50,12,Iowa,Des Moines,50936,Male,Middle Aged,2,Listing Coordinator,2097,3,3,2,1,260,6,Average,Sale,0,7533,297305.0,733442.0,4.1,33578.0,0,791
66,2022-03-21,2022,1,3,12,21,North Carolina,Greensboro,27499,Male,Middle Aged,5,Real Estate Agent,4458,6,6,2,2,509,12,Poor,Sale,2,9852,275460.0,661504.0,2.4,27691.0,138,0
67,2023-01-08,2023,1,1,2,8,Texas,Dallas,75392,Female,Adult,3,Real Estate Agent,3935,5,5,2,2,340,9,Excellent,Sale,1,0,142030.0,850060.0,3.3,12381.0,182,511
68,2022-08-01,2022,3,8,31,1,Texas,Amarillo,79165,Female,Middle Aged,4,Broker Associate,4057,5,5,2,2,577,47,Poor,Sale,1,0,547198.0,579546.0,3.9,29224.0,88,796
69,2023-09-08,2023,3,9,36,8,Arkansas,North Little Rock,72199,Female,Middle Aged,4,Listing Coordinator,1449,3,3,1,1,63,3,Poor,Sale,1,10284,772500.0,814222.0,5.4,11650.0,152,24
70,2023-07-22,2023,3,7,29,22,Maryland,Silver Spring,20910,Male,Middle Aged,5,Real Estate Agent,1303,2,2,1,1,1,32,Excellent,Sale,1,9331,303103.0,224015.0,2.7962413231256833,6264.0,79,1412
71,2023-03-30,2023,1,3,13,30,Maryland,Bowie,20719,Male,Adult,1,Real Estate Agent,2824,4,4,2,1,154,61,Average,Sale,2,9817,72463.0,203070.0,2.7,30051.0,10,182
72,2023-06-23,2023,2,6,25,23,New York,New York City,10014,Male,Middle Aged,1,Broker Associate,534,1,1,1,1,1,32,Excellent,Sale,0,5598,750587.0,608791.0,5.5,17890.0,0,1355
73,2022-05-12,2022,2,5,19,12,Kentucky,London,40745,Male,Adult,4,Listing Coordinator,1612,3,3,2,1,211,17,Average,Rental,0,6551,666868.0,441169.0,5.9,25494.0,0,0
74,2024-02-23,2024,1,2,8,23,Connecticut,Hartford,6105,Male,Middle Aged,4,Real Estate Agent,2398,4,4,2,1,121,60,Average,Sale,1,6867,482440.0,718911.0,5.0,19049.0,82,356
75,2023-09-07,2023,3,9,36,7,Kansas,Shawnee Mission,66225,Female,Middle Aged,5,Real Estate Agent,1876,3,3,2,1,365,36,Poor,Sale,0,4221,318598.0,266155.0,2.5,7987.0,0,1025
76,2022-05-17,2022,2,5,20,17,Kentucky,Lexington,40244,Male,Adult,4,Broker Associate,2298,3,3,2,1,283,26,Poor,Rental,0,0,450990.0,870392.0,5.7,15183.0,0,652
77,2024-01-12,2024,1,1,2,12,California,Fresno,93726,Female,Adult,2,Broker Associate,4011,5,5,2,2,332,67,Excellent,Sale,2,0,803855.0,511864.0,2.3,27539.0,42,1374
78,2022-12-22,2022,4,12,51,22,Minnesota,Monticello,58899,Male,Middle Aged,3,Listing Coordinator,4184,5,5,2,2,475,49,Average,Rental,0,9028,866173.0,739184.0,5.4,44529.0,0,0
79,2022-09-06,2022,3,9,36,6,District of Columbia,Washington,20535,Female,Senior,2,Broker Associate,2573,4,4,2,1,512,4,Average,Sale,2,6200,428781.0,330017.0,3.2,49899.0,128,932
80,2024-03-04,2024,1,3,10,4,Texas,Killeen,76544,Female,Adult,2,Property Manager,2429,3,4,2,1,316,56,Average,Sale,2,3906,513970.0,734009.0,3.9,16112.0,93,874
81,2023-11-06,2023,4,11,45,6,Nevada,Las Vegas,89110,Male,Middle Aged,4,Real Estate Agent,3410,4,4,2,2,53,46,Average,Rental,1,4119,722276.0,454684.0,4.6,18660.0,126,104
82,2023-12-19,2023,4,12,51,19,Washington,Tacoma,98411,Male,Adult,4,Property Manager,3932,5,5,2,2,3,5,Average,Sale,1,5102,905134.0,447386.0,2.3,2428.0,86,275
83,2023-04-03,2023,2,4,14,3,Georgia,Augusta,30905,Female,Middle Aged,3,Real Estate Agent,848,1,1,1,1,27,58,Poor,Sale,0,0,362396.0,281905.0,2.6,45281.0,0,1159
84,2022-03-10,2022,1,3,10,10,Texas,Odessa,79769,Male,Middle Aged,1,Listing Coordinator,2151,3,3,2,1,397,30,Average,Rental,2,18468,479734.0,607535.0,4.1,6490.0,129,945
85,2023-08-01,2023,3,8,31,1,Louisiana,Baton Rouge,70810,Female,Senior,2,Real Estate Agent,3613,5,5,2,2,600,61,Average,Rental,1,13451,574886.0,196373.0,5.5,16703.0,134,0
86,2023-04-13,2023,2,4,15,13,Arizona,Peoria,85383,Female,Adult,2,Leasing Consultant,4337,5,5,2,2,90,7,Excellent,Rental,0,16951,58937.0,394647.0,5.7,43643.0,0,1322
87,2023-09-18,2023,3,9,38,18,New York,New York City,10014,Male,Adult,4,Property Manager,1455,3,3,1,1,48,22,Average,Sale,0,0,39361.0,338815.0,4.3,35552.0,0,0
88,2023-06-18,2023,2,6,25,18,Louisiana,Shreveport,71115,Female,Senior,5,Real Estate Agent,541,1,1,1,1,92,5,Excellent,Sale,2,0,761972.0,154850.0,5.4,8714.0,116,42
89,2023-10-18,2023,4,10,42,18,Illinois,Chicago,60697,Female,Adult,2,Real Estate Agent,662,1,1,1,1,52,35,Average,Rental,0,5522,772870.0,918425.0,4.4,21485.0,0,752
90,2023-07-03,2023,3,7,27,3,Pennsylvania,Philadelphia,19104,Female,Adult,4,Listing Coordinator,1535,3,3,2,1,51,53,Average,Sale,1,9978,248278.0,349588.0,3.8,7938.0,80,0
91,2023-09-02,2023,3,9,35,2,Texas,Fort Worth,76134,Female,Middle Aged,2,Listing Coordinator,2255,3,3,2,1,262,36,Excellent,Sale,2,1143,207376.0,171345.0,3.7,9553.0,43,239
92,2023-03-20,2023,1,3,12,20,Michigan,Flint,48505,Female,Middle Aged,4,Real Estate Agent,881,1,1,1,1,156,71,Excellent,Rental,0,4897,628092.0,701206.0,2.9,17825.0,0,495
93,2022-04-02,2022,2,4,14,2,Texas,El Paso,79923,Female,Adult,3,Property Manager,2030,3,3,2,1,184,59,Excellent,Rental,1,8792,493300.0,326793.0,4.922076054260648,16085.0,140,363
94,2022-12-30,2022,4,12,52,30,Nevada,Las Vegas,89160,Male,Senior,2,Broker Associate,2869,4,4,2,1,309,66,Average,Sale,1,5390,113980.0,447194.0,4.3,9068.0,7,1365
95,2024-04-11,2024,2,4,15,11,Nevada,Reno,92289,Female,Middle Aged,1,Real Estate Agent,4750,6,6,3,2,299,13,Excellent,Sale,2,9976,647207.0,342609.0,2.7,17116.0,77,1370
96,2022-06-29,2022,2,6,26,29,District of Columbia,Washington,26087,Male,Middle Aged,5,Leasing Consultant,3324,4,4,2,2,17,74,Excellent,Sale,0,0,536848.0,801282.0,4.9,17989.0,0,520
97,2022-07-23,2022,3,7,30,23,Texas,San Antonio,78230,Male,Adult,1,Property Manager,2155,3,3,2,1,220,67,Excellent,Sale,2,0,694045.4,306642.0,2.7,20100.0,68,897
98,2023-08-11,2023,3,8,32,11,Indiana,South Bend,46699,Male,Middle Aged,3,Real Estate Agent,4596,6,6,3,2,209,32,Average,Rental,0,0,922438.0,532635.0,3.5,11674.0,0,581
99,2023-10-20,2023,4,10,42,20,New York,Bronx,10474,Male,Middle Aged,5,Real Estate Agent,1965,3,3,2,1,335,50,Average,Sale,1,7587,908379.0,671557.0,4.8,3446.0,52,1079
100,2023-01-12,2023,1,1,2,12,Texas,San Antonio,78215,Female,Adult,5,Real Estate Agent,1691,3,3,2,1,283,47,Excellent,Rental,2,0,519052.0,415666.0,6.376994991170795,26507.0,174,1438
101,2022-02-20,2022,1,2,8,20,Illinois,Aurora,52546,Female,Middle Aged,5,Property Manager,3460,4,4,2,2,25,26,Poor,Sale,1,9999,826377.0,767418.0,5.8,33682.0,103,907
102,2022-07-10,2022,3,7,28,10,Connecticut,Hartford,6152,Male,Middle Aged,1,Leasing Consultant,1700,3,3,2,1,328,58,Poor,Sale,0,349,526163.0,463622.0,5.9,25583.0,0,16
103,2024-03-21,2024,1,3,12,21,Oklahoma,Tulsa,74126,Male,Adult,2,Leasing Consultant,2225,3,3,2,1,162,50,Average,Rental,2,0,258104.0,641405.0,3.0,32475.0,162,1788
104,2023-02-20,2023,1,2,8,20,Nebraska,Lincoln,73901,Female,Middle Aged,1,Listing Coordinator,3724,5,5,2,2,94,25,Average,Sale,0,8209,185065.0,462190.0,5.0,48637.0,0,0
105,2022-12-26,2022,4,12,52,26,North Carolina,Charlotte,28247,Female,Senior,2,Leasing Consultant,1300,2,2,1,1,234,64,Poor,Sale,1,0,974447.0,652111.0,5.8,18893.0,100,1428
106,2024-03-04,2024,1,3,10,4,Virginia,Falls Church,22047,Female,Adult,2,Leasing Consultant,2058,3,3,2,1,292,45,Average,Rental,1,6769,669815.0,325302.0,4.7,11779.0,70,1703
107,2023-02-24,2023,1,2,8,24,Missouri,Kansas City,64114,Male,Middle Aged,2,Listing Coordinator,1878,3,3,2,1,39,68,Average,Rental,1,0,914681.0,331757.0,5.3,47208.0,9,65
108,2023-01-26,2023,1,1,4,26,Washington,Tacoma,98411,Female,Middle Aged,3,Listing Coordinator,4568,6,6,3,2,865,62,Excellent,Sale,0,6315,625653.0,208218.0,5.8,39937.0,0,19
109,2022-05-30,2022,2,5,22,30,Texas,Lubbock,79405,Male,Adult,2,Leasing Consultant,2919,4,4,2,1,220,39,Average,Rental,1,8525,389307.0,702038.0,4.2,4915.0,82,431
110,2024-01-08,2024,1,1,2,8,District of Columbia,Washington,13949,Male,Middle Aged,3,Real Estate Agent,2218,3,3,2,1,214,30,Average,Sale,0,0,366363.0,611217.0,5.6,19371.0,0,1213
111,2024-05-21,2024,2,5,21,21,Texas,Amarillo,79165,Female,Adult,3,Leasing Consultant,3222,4,4,2,2,462,52,Poor,Sale,1,0,809242.0,432059.0,4.6,48514.0,100,261
112,2022-06-23,2022,2,6,25,23,West Virginia,Charleston,25326,Male,Senior,1,Leasing Consultant,4622,6,6,3,2,396,37,Poor,Sale,1,3582,213486.0,631727.0,4.9,19575.0,70,0
113,2022-10-07,2022,4,10,40,7,Minnesota,Young America,55573,Male,Middle Aged,2,Real Estate Agent,2746,4,4,2,1,545,64,Excellent,Sale,1,4292,611947.4,850858.0,2.4,15241.0,110,75
114,2022-09-22,2022,3,9,38,22,Indiana,Indianapolis,46247,Female,Middle Aged,1,Listing Coordinator,1119,2,2,1,1,160,17,Average,Sale,1,9860,216212.0,484800.0,2.5,19387.0,39,994
115,2023-09-13,2023,3,9,37,13,Florida,Ocala,44983,Male,Middle Aged,5,Real Estate Agent,3671,5,5,2,2,640,15,Average,Sale,1,2135,300904.0,549146.0,4.2,42800.0,69,126
116,2022-11-19,2022,4,11,47,19,Illinois,Chicago,60624,Female,Senior,3,Real Estate Agent,2239,3,3,2,1,324,51,Poor,Sale,2,0,971314.0,590804.0,3.8,1643.0,76,902
117,2022-04-08,2022,2,4,14,8,Minnesota,Duluth,52660,Male,Adult,5,Broker Associate,2289,3,3,2,1,345,9,Average,Sale,0,1480,636352.0,474739.0,3.4,49181.0,0,0
118,2023-06-19,2023,2,6,25,19,Texas,Abilene,79699,Female,Senior,4,Real Estate Agent,2707,4,4,2,1,45,40,Average,Sale,1,0,302991.0,658344.0,3.8,37118.0,88,1616
119,2022-06-13,2022,2,6,24,13,New York,Syracuse,13217,Female,Adult,4,Broker Associate,3581,4,4,2,2,383,31,Average,Sale,1,0,113755.0,781683.0,2.2,8939.0,27,0
120,2022-02-24,2022,1,2,8,24,California,Sacramento,83683,Female,Middle Aged,4,Listing Coordinator,4781,6,6,3,2,341,33,Poor,Sale,2,0,518101.0,332649.0,12.463888362808847,41461.0,113,187
121,2022-11-09,2022,4,11,45,9,Arizona,Phoenix,84050,Female,Middle Aged,1,Real Estate Agent,1719,3,3,2,1,191,21,Poor,Rental,2,5117,859680.0,494974.0,3.3,38545.0,42,0
122,2024-04-23,2024,2,4,17,23,Kansas,Wichita,67215,Male,Middle Aged,5,Property Manager,2296,3,3,2,1,310,15,Poor,Rental,3,9928,766861.0,558911.0,4.5,1813.0,139,1614
123,2023-09-18,2023,3,9,38,18,Virginia,Virginia Beach,23464,Female,Middle Aged,3,Real Estate Agent,3044,4,4,2,2,445,62,Poor,Sale,0,7199,691544.0,320032.0,5.0,38243.0,0,693
124,2022-11-12,2022,4,11,46,12,Utah,Salt Lake City,84199,Male,Middle Aged,3,Broker Associate,4543,6,6,3,2,517,62,Excellent,Sale,2,4073,636421.0,159701.0,2.2,2569.0,31,1172
125,2023-05-25,2023,2,5,21,25,Missouri,Saint Louis,63131,Female,Adult,4,Property Manager,1693,3,3,2,1,180,32,Poor,Sale,0,3663,848029.0,329542.0,3.9,11981.0,0,77
126,2023-07-22,2023,3,7,29,22,Ohio,Columbus,43204,Male,Senior,4,Leasing Consultant,4370,5,5,2,2,747,70,Excellent,Sale,1,3099,815106.0,365534.0,9.17069273993664,33522.0,75,1228
127,2023-07-28,2023,3,7,30,28,Washington,Seattle,98148,Male,Middle Aged,3,Property Manager,519,1,1,1,1,71,22,Average,Rental,1,0,858926.0,902423.0,5.0,22282.0,59,0
128,2023-03-21,2023,1,3,12,21,Florida,Orlando,32835,Male,Adult,3,Leasing Consultant,3555,4,4,2,2,667,35,Average,Rental,0,5374,603737.6,973166.0,4.4,46457.0,0,137
129,2024-04-04,2024,2,4,14,4,Washington,Tacoma,98442,Male,Adult,1,Broker Associate,4147,5,5,2,2,532,56,Average,Rental,0,910,740298.0,777519.0,3.4516198317983227,26837.0,0,1329
130,2023-02-02,2023,1,2,5,2,Texas,Lubbock,79405,Male,Adult,4,Real Estate Agent,1172,2,2,1,1,176,42,Poor,Sale,0,8107,482013.0,661624.0,3.6,47238.0,0,605
131,2024-03-26,2024,1,3,13,26,New Jersey,Newark,7188,Female,Middle Aged,2,Property Manager,4353,5,5,2,2,195,72,Average,Sale,1,2894,686187.0,881980.0,5.0,38817.0,43,1299
132,2024-01-01,2024,1,1,1,1,New Jersey,Paterson,7544,Female,Senior,5,Leasing Consultant,4661,6,6,3,2,129,62,Excellent,Rental,1,9670,484836.0,669704.0,5.1,14163.0,81,758
133,2023-09-07,2023,3,9,36,7,New York,Brooklyn,11225,Male,Middle Aged,2,Listing Coordinator,1399,2,2,1,1,132,34,Excellent,Sale,0,15039,499677.0,584151.0,4.1,44279.0,0,362
