visit_id,property_id,visit_date,client_id,description
251,366,2021-10-10,467,Requires Significant Changes or Renovations
252,993,2021-11-05,882,Requires Significant Changes or Renovations
253,481,2023-05-24,955,Interested in a Different Type of Property
254,836,2022-04-18,452,Interested but Needs More Information
255,678,2019-12-19,45,Interested but Price is a Concern
256,337,2021-10-29,97,Interested in a Different Type of Property
257,54,2023-11-07,597,Moderately Interested in Rent
258,368,2023-03-03,360,Moderately Interested in Purchase
259,665,2019-08-18,198,Moderately Interested in Purchase
260,531,2021-11-09,604,Interested but Price is a Concern
261,524,2019-05-05,327,Waiting on External Factors
262,153,2019-04-22,70,Interested but Price is a Concern
263,891,2020-04-16,375,Highly Interested in Purchase
264,809,2022-05-22,461,Moderately Interested in Rent
265,588,2023-10-11,168,Moderately Interested in Purchase
266,868,2023-05-30,455,Moderately Interested in Purchase
267,126,2023-12-28,117,Requires Significant Changes or Renovations
268,706,2019-05-14,538,Interested in a Different Type of Property
269,328,2020-02-26,8,Moderately Interested in Purchase
270,243,2020-07-26,442,Highly Interested in Purchase
271,486,2023-03-13,405,Highly Interested in Purchase
272,913,2020-08-01,950,Requires Significant Changes or Renovations
273,874,2023-04-16,826,Not Interested in Property
274,594,2019-09-12,225,Moderately Interested in Rent
275,194,2019-04-22,956,Moderately Interested in Rent
276,91,2021-02-25,934,Not Interested in Property
277,561,2020-08-26,504,Interested in a Different Type of Property
278,169,2021-09-17,994,Not Interested in Property
279,812,2022-03-10,984,Waiting on External Factors
280,560,2022-04-08,251,Interested but Needs More Information
281,811,2022-06-19,773,Moderately Interested in Purchase
282,74,2023-12-14,618,Requires Significant Changes or Renovations
283,979,2019-05-22,831,Moderately Interested in Purchase
284,55,2022-11-08,42,Requires Significant Changes or Renovations
285,440,2023-08-16,134,Interested but Price is a Concern
286,823,2023-11-30,264,Interested but Needs More Information
287,93,2022-11-16,384,Not Interested in Property
288,534,2019-06-04,941,Highly Interested in Purchase
289,648,2023-09-07,993,Highly Interested in Purchase
290,182,2022-08-14,864,Highly Interested in Rent
291,253,2020-03-12,784,Moderately Interested in Rent
292,804,2023-12-24,357,Interested in a Different Type of Property
293,319,2020-03-08,382,Interested but Needs More Information
294,439,2023-06-08,558,Interested but Needs More Information
295,510,2020-07-20,142,Interested in a Different Type of Property
296,436,2021-10-25,845,Interested in a Different Type of Property
297,257,2020-05-27,169,Highly Interested in Rent
298,544,2020-10-15,856,Interested but Needs More Information
299,653,2020-03-30,363,Requires Significant Changes or Renovations
300,1,2022-07-08,294,Highly Interested in Rent
301,664,2023-07-21,132,Interested in a Different Type of Property
302,973,2023-09-05,338,Waiting on External Factors
303,150,2019-07-27,220,Not Interested in Property
304,492,2019-05-22,651,Highly Interested in Purchase
305,460,2023-03-23,878,Not Interested in Property
306,831,2023-10-11,670,Interested but Needs More Information
307,461,2023-05-02,481,Interested in a Different Type of Property
308,693,2022-06-17,637,Moderately Interested in Rent
309,573,2020-12-05,928,Waiting on External Factors
310,939,2022-09-12,29,Requires Significant Changes or Renovations
311,285,2023-06-13,276,Highly Interested in Rent
312,645,2023-12-29,105,Requires Significant Changes or Renovations
313,660,2023-04-15,849,Moderately Interested in Rent
314,639,2023-04-09,499,Interested but Needs More Information
315,442,2022-07-12,970,Moderately Interested in Rent
316,224,2019-11-23,179,Moderately Interested in Purchase
317,84,2019-09-18,789,Waiting on External Factors
318,723,2019-06-06,599,Interested but Needs More Information
319,934,2020-03-29,909,Interested but Needs More Information
320,699,2020-09-14,308,Not Interested in Property
321,717,2023-03-30,965,Moderately Interested in Purchase
322,265,2019-11-14,777,Requires Significant Changes or Renovations
323,403,2022-06-04,358,Interested but Price is a Concern
324,950,2022-01-25,47,Moderately Interested in Purchase
325,98,2021-08-06,313,Interested but Price is a Concern
326,858,2022-02-01,340,Interested in a Different Type of Property
327,855,2020-01-20,307,Interested in a Different Type of Property
328,864,2020-10-18,136,Highly Interested in Purchase
329,458,2021-04-13,932,Not Interested in Property
330,172,2021-06-21,995,Highly Interested in Rent
331,972,2020-10-11,692,Highly Interested in Rent
332,910,2020-09-12,642,Moderately Interested in Rent
333,249,2020-06-05,665,Not Interested in Property
334,628,2022-01-21,783,Moderately Interested in Purchase
335,911,2020-12-22,478,Highly Interested in Purchase
336,999,2022-10-27,422,Not Interested in Property
337,115,2019-04-12,581,Moderately Interested in Purchase
338,269,2022-02-01,824,Moderately Interested in Rent
339,89,2022-09-04,280,Waiting on External Factors
340,220,2022-11-02,122,Moderately Interested in Rent
341,252,2021-03-16,577,Highly Interested in Rent
342,25,2021-03-17,958,Interested in a Different Type of Property
343,292,2021-06-09,830,Requires Significant Changes or Renovations
344,489,2019-08-19,788,Highly Interested in Rent
345,725,2020-08-22,785,Not Interested in Property
346,862,2022-03-23,763,Requires Significant Changes or Renovations
347,576,2019-10-04,672,Highly Interested in Purchase
348,776,2020-11-11,881,Highly Interested in Purchase
349,203,2019-09-20,153,Highly Interested in Rent
350,102,2019-03-28,54,Interested but Needs More Information
351,507,2019-06-19,798,Not Interested in Property
352,312,2021-08-24,269,Highly Interested in Purchase
353,629,2020-06-22,66,Highly Interested in Purchase
354,128,2021-08-04,848,Requires Significant Changes or Renovations
355,742,2023-07-01,541,Waiting on External Factors
356,643,2023-12-02,309,Requires Significant Changes or Renovations
357,62,2021-09-15,903,Interested but Price is a Concern
358,216,2023-08-30,794,Highly Interested in Purchase
359,707,2021-04-05,899,Interested but Price is a Concern
360,692,2019-08-11,907,Interested but Needs More Information
361,980,2019-09-25,837,Highly Interested in Purchase
362,558,2020-07-21,317,Interested in a Different Type of Property
363,81,2021-04-20,596,Interested in a Different Type of Property
364,145,2023-06-10,93,Waiting on External Factors
365,12,2022-09-28,768,Moderately Interested in Purchase
366,431,2021-12-30,850,Waiting on External Factors
367,943,2023-12-01,76,Interested but Price is a Concern
368,595,2019-06-29,979,Interested in a Different Type of Property
369,381,2021-11-30,247,Highly Interested in Rent
370,244,2021-02-20,296,Interested but Needs More Information
371,160,2020-01-14,689,Not Interested in Property
372,193,2022-10-28,416,Interested in a Different Type of Property
373,852,2023-01-29,12,Not Interested in Property
374,783,2021-04-16,560,Moderately Interested in Purchase
375,577,2020-02-16,510,Interested in a Different Type of Property
376,527,2020-04-25,756,Waiting on External Factors
377,966,2023-04-24,114,Interested in a Different Type of Property
378,951,2019-08-07,130,Interested but Price is a Concern
379,215,2021-12-11,563,Highly Interested in Purchase
380,851,2022-07-02,458,Highly Interested in Rent
381,846,2019-05-26,318,Interested in a Different Type of Property
382,624,2023-04-02,108,Waiting on External Factors
383,308,2022-04-23,786,Highly Interested in Purchase
384,350,2022-06-19,867,Moderately Interested in Purchase
385,539,2021-10-02,380,Interested but Price is a Concern
386,494,2023-11-26,959,Moderately Interested in Rent
387,971,2021-12-17,271,Not Interested in Property
388,387,2020-04-09,385,Interested but Price is a Concern
389,569,2019-08-12,425,Highly Interested in Purchase
390,386,2022-05-22,601,Highly Interested in Purchase
391,705,2022-02-03,399,Interested but Needs More Information
392,505,2023-12-06,37,Requires Significant Changes or Renovations
393,915,2022-10-02,870,Interested in a Different Type of Property
394,840,2019-06-20,683,Highly Interested in Purchase
395,914,2023-02-22,1,Moderately Interested in Rent
396,711,2021-10-01,216,Interested but Needs More Information
397,388,2022-10-26,109,Highly Interested in Purchase
398,227,2020-09-10,945,Waiting on External Factors
399,604,2023-05-30,557,Highly Interested in Purchase
400,159,2021-11-03,869,Highly Interested in Rent
401,283,2023-01-19,794,Not Interested in Property
402,568,2020-05-18,299,Interested but Price is a Concern
403,555,2020-05-19,954,Moderately Interested in Purchase
404,465,2020-05-21,509,Highly Interested in Rent
405,40,2021-08-10,839,Highly Interested in Purchase
406,347,2019-02-25,271,Waiting on External Factors
407,311,2021-07-12,364,Waiting on External Factors
408,50,2022-03-17,685,Interested but Price is a Concern
409,856,2021-02-21,764,Moderately Interested in Rent
410,479,2023-07-11,570,Moderately Interested in Purchase
411,724,2019-06-27,664,Moderately Interested in Rent
412,969,2023-12-12,751,Highly Interested in Purchase
413,947,2022-03-13,910,Moderately Interested in Purchase
414,495,2019-08-10,450,Interested but Price is a Concern
415,930,2019-05-12,157,Moderately Interested in Rent
416,39,2023-08-12,694,Highly Interested in Rent
417,490,2020-11-23,577,Highly Interested in Rent
418,332,2021-11-29,624,Requires Significant Changes or Renovations
419,616,2020-07-08,409,Not Interested in Property
420,65,2019-03-03,645,Moderately Interested in Rent
421,967,2019-08-13,904,Waiting on External Factors
422,631,2019-05-01,750,Interested in a Different Type of Property
423,143,2023-09-24,339,Highly Interested in Rent
424,945,2020-01-18,568,Highly Interested in Rent
425,12,2022-08-31,950,Interested but Needs More Information
426,825,2022-12-07,652,Waiting on External Factors
427,980,2019-10-22,943,Interested but Price is a Concern
428,64,2020-04-10,25,Not Interested in Property
429,557,2022-06-12,426,Interested but Price is a Concern
430,881,2020-02-24,75,Not Interested in Property
431,305,2023-09-25,459,Moderately Interested in Purchase
432,57,2023-10-08,687,Moderately Interested in Purchase
433,912,2019-12-06,323,Interested but Price is a Concern
434,600,2020-05-26,791,Highly Interested in Purchase
435,115,2019-04-13,999,Not Interested in Property
436,261,2023-03-28,829,Moderately Interested in Rent
437,292,2021-05-14,96,Interested but Price is a Concern
438,573,2020-11-25,698,Interested but Needs More Information
439,476,2022-08-05,957,Moderately Interested in Purchase
440,396,2023-11-28,237,Interested but Price is a Concern
441,307,2021-01-31,560,Moderately Interested in Rent
442,744,2022-07-10,892,Requires Significant Changes or Renovations
443,464,2020-12-09,965,Moderately Interested in Purchase
444,854,2021-08-09,56,Moderately Interested in Rent
445,361,2023-11-07,993,Not Interested in Property
446,302,2023-07-03,673,Not Interested in Property
447,727,2021-08-11,605,Waiting on External Factors
448,391,2021-03-20,865,Interested but Price is a Concern
449,937,2020-01-31,397,Not Interested in Property
450,975,2023-01-14,571,Moderately Interested in Rent
451,412,2022-03-26,600,Requires Significant Changes or Renovations
452,668,2022-10-25,38,Waiting on External Factors
453,976,2020-05-28,232,Not Interested in Property
454,430,2021-06-11,122,Interested but Price is a Concern
455,192,2023-05-14,557,Moderately Interested in Rent
456,121,2022-09-13,785,Not Interested in Property
457,492,2019-05-07,686,Not Interested in Property
458,43,2023-09-17,359,Not Interested in Property
459,379,2021-02-07,1000,Waiting on External Factors
460,452,2021-04-10,218,Interested in a Different Type of Property
461,129,2022-05-29,11,Not Interested in Property
462,228,2020-02-22,160,Interested but Price is a Concern
463,415,2021-04-04,633,Interested in a Different Type of Property
464,892,2022-07-12,149,Interested but Price is a Concern
465,27,2022-09-04,648,Moderately Interested in Purchase
466,873,2021-08-21,86,Moderately Interested in Rent
467,505,2023-11-09,374,Highly Interested in Rent
468,386,2022-05-08,828,Moderately Interested in Rent
469,719,2021-11-09,612,Waiting on External Factors
470,872,2020-03-07,324,Highly Interested in Rent
471,589,2021-01-08,825,Interested but Price is a Concern
472,907,2022-12-10,766,Highly Interested in Rent
473,142,2020-12-08,798,Waiting on External Factors
474,800,2020-11-28,380,Highly Interested in Rent
475,657,2021-10-03,743,Interested but Needs More Information
476,274,2020-06-05,139,Interested but Price is a Concern
477,165,2021-04-01,366,Not Interested in Property
478,288,2023-10-28,194,Not Interested in Property
479,636,2023-12-23,266,Moderately Interested in Purchase
480,748,2019-07-19,691,Requires Significant Changes or Renovations
481,477,2022-03-19,767,Requires Significant Changes or Renovations
482,331,2020-12-07,868,Not Interested in Property
483,456,2019-02-07,176,Moderately Interested in Purchase
484,946,2022-02-03,414,Moderately Interested in Rent
485,606,2019-02-18,921,Interested but Needs More Information
486,590,2020-06-17,556,Requires Significant Changes or Renovations
487,865,2023-03-03,748,Moderately Interested in Purchase
488,486,2023-03-10,780,Highly Interested in Purchase
489,806,2021-11-26,39,Waiting on External Factors
490,265,2019-12-19,547,Moderately Interested in Purchase
491,523,2022-05-16,398,Interested but Needs More Information
492,747,2022-03-31,169,Waiting on External Factors
493,337,2021-10-25,285,Interested but Needs More Information
494,552,2022-09-18,877,Waiting on External Factors
495,990,2021-10-24,228,Not Interested in Property
496,814,2023-11-15,613,Highly Interested in Rent
497,470,2021-03-20,40,Highly Interested in Rent
498,670,2023-03-19,104,Highly Interested in Rent
499,553,2021-10-15,740,Interested but Price is a Concern
500,842,2020-06-16,799,Interested but Needs More Information
501,870,2019-04-17,15,Highly Interested in Purchase
502,70,2021-02-14,931,Not Interested in Property
503,459,2021-09-19,280,Interested in a Different Type of Property
504,959,2020-09-07,693,Interested in a Different Type of Property
505,857,2023-10-12,308,Highly Interested in Rent
506,250,2021-07-16,899,Highly Interested in Purchase
507,485,2021-07-19,816,Moderately Interested in Rent
508,122,2023-03-03,235,Waiting on External Factors
509,61,2022-04-25,963,Interested but Needs More Information
510,699,2020-09-04,843,Not Interested in Property
511,598,2021-07-30,400,Interested but Needs More Information
512,761,2020-11-28,559,Highly Interested in Rent
513,530,2022-05-20,250,Not Interested in Property
514,594,2019-09-15,730,Not Interested in Property
515,166,2021-04-13,533,Interested but Needs More Information
516,401,2021-12-06,467,Not Interested in Property
517,948,2020-11-10,888,Not Interested in Property
518,556,2021-07-18,371,Waiting on External Factors
519,891,2020-05-21,657,Moderately Interested in Purchase
520,428,2020-08-06,563,Highly Interested in Purchase
521,603,2022-10-13,146,Waiting on External Factors
522,539,2021-09-29,805,Highly Interested in Rent
523,994,2022-09-21,171,Highly Interested in Purchase
524,709,2023-08-17,567,Requires Significant Changes or Renovations
525,239,2022-08-06,388,Highly Interested in Rent
526,246,2023-05-15,598,Not Interested in Property
527,805,2021-04-18,760,Interested but Needs More Information
528,725,2020-08-02,317,Waiting on External Factors
529,888,2022-02-20,986,Interested but Price is a Concern
530,770,2022-07-22,897,Highly Interested in Purchase
531,313,2020-06-30,641,Requires Significant Changes or Renovations
532,5,2019-09-19,358,Moderately Interested in Purchase
533,610,2021-02-25,94,Highly Interested in Purchase
534,205,2020-09-09,22,Highly Interested in Rent
535,830,2022-09-02,725,Not Interested in Property
536,927,2020-11-10,889,Moderately Interested in Rent
537,245,2020-03-21,296,Interested in a Different Type of Property
538,832,2023-04-07,822,Waiting on External Factors
539,243,2020-07-12,248,Interested but Needs More Information
540,627,2021-05-11,346,Waiting on External Factors
541,440,2023-08-20,876,Requires Significant Changes or Renovations
542,363,2019-04-14,804,Requires Significant Changes or Renovations
543,469,2023-01-05,238,Highly Interested in Rent
544,273,2022-06-18,78,Interested but Needs More Information
545,712,2019-12-21,621,Interested in a Different Type of Property
546,229,2022-02-08,173,Interested but Needs More Information
547,886,2023-07-05,793,Interested but Needs More Information
548,701,2020-11-17,863,Requires Significant Changes or Renovations
549,722,2021-06-21,496,Highly Interested in Rent
550,756,2024-02-11,356,Requires Significant Changes or Renovations
551,314,2020-07-22,298,Highly Interested in Rent
552,964,2019-04-28,968,Moderately Interested in Purchase
553,804,2024-01-06,769,Highly Interested in Purchase
554,592,2020-10-15,885,Highly Interested in Rent
555,191,2023-11-05,581,Interested in a Different Type of Property
556,340,2023-11-19,272,Highly Interested in Purchase
557,499,2023-09-05,920,Highly Interested in Rent
558,422,2023-08-29,989,Waiting on External Factors
559,106,2021-11-30,960,Interested in a Different Type of Property
560,894,2021-03-07,733,Interested in a Different Type of Property
561,473,2022-04-23,249,Highly Interested in Rent
562,253,2020-04-25,322,Highly Interested in Purchase
563,174,2020-04-14,340,Highly Interested in Purchase
564,392,2019-12-22,701,Moderately Interested in Rent
