sale_id,property_id,sale_date,client_id,commission_id,sale_amount
352,256,2023-09-02,364,261,351095
353,50,2022-05-05,2,793,484805
354,103,2019-12-02,838,617,488886
355,596,2021-11-05,190,718,952285
356,973,2024-02-20,556,575,263659
357,418,2021-11-24,158,295,382682
358,726,2020-01-16,322,417,400340
359,934,2020-06-16,113,276,848035
360,946,2022-02-12,442,933,903729
361,920,2020-02-21,305,354,712380
362,707,2021-08-23,980,105,247802
363,150,2019-08-30,88,649,983863
364,667,2020-06-05,667,342,368644
365,875,2019-11-20,987,262,578215
366,353,2023-02-28,963,909,746327
367,307,2021-05-26,112,71,277757
368,268,2022-11-06,545,679,574318
369,695,2020-03-12,999,227,441495
370,49,2021-10-30,803,470,454808
371,271,2019-12-30,248,176,585657
372,325,2020-08-01,212,700,599304
373,530,2022-10-05,397,818,862838
374,641,2022-02-28,547,401,387532
375,931,2023-09-30,238,133,959678
376,184,2019-11-29,709,468,645385
377,867,2022-10-18,818,363,917329
378,806,2022-03-15,746,162,556545
379,741,2023-06-11,191,920,611077
380,63,2022-02-10,219,258,524520
381,792,2020-06-19,349,539,748325
382,987,2022-06-22,812,78,733919
383,599,2022-07-16,459,415,677597
384,2,2019-10-30,1,864,626034
385,253,2020-08-11,783,635,780836
386,494,2023-12-23,995,103,973958
387,247,2021-03-01,839,259,485490
388,631,2019-06-07,934,541,299348
389,109,2019-05-13,371,91,834613
390,316,2019-10-28,268,561,926371
391,410,2020-04-12,254,719,214628
392,801,2023-01-24,626,37,930761
393,60,2023-03-25,374,862,842323
394,99,2022-12-06,72,770,479946
395,478,2021-02-07,658,379,239570
396,239,2022-12-13,476,393,784265
397,231,2023-02-21,713,343,711140
398,567,2022-09-07,217,50,552673
399,751,2023-03-13,359,57,336543
400,958,2024-05-16,311,272,657101
401,745,2022-11-07,245,603,909031
402,619,2021-05-04,386,618,449262
403,580,2021-05-06,627,267,431363
404,877,2022-07-20,904,480,361541
405,744,2022-11-08,810,514,404810
406,319,2020-06-06,241,560,395639
407,506,2021-01-27,471,505,687253
408,275,2020-04-09,696,647,690194
409,603,2023-01-02,901,235,972023
410,522,2024-02-05,48,629,842696
411,52,2022-08-01,90,964,301549
412,809,2022-07-09,49,395,153974
413,741,2023-03-11,19,307,666678
414,230,2021-01-19,629,690,720157
415,653,2020-09-08,731,181,912251
416,639,2023-06-15,792,609,307480
417,967,2020-01-12,216,507,368341
418,298,2023-09-21,102,839,459479
419,911,2021-01-10,332,997,191374
420,604,2023-09-19,679,730,610408
421,784,2019-12-07,168,500,334404
422,355,2022-12-27,959,344,926316
423,432,2020-09-21,356,368,871826
424,904,2020-02-10,328,714,623134
425,899,2024-02-17,662,391,619046
426,42,2022-08-25,288,165,343864
427,952,2024-03-11,415,103,513014
428,102,2019-05-12,512,525,788009
429,757,2019-10-05,411,159,723760
430,599,2022-07-16,30,89,948230
431,788,2020-06-27,201,942,754108
432,203,2019-09-28,947,255,980172
433,529,2022-09-29,625,459,325806
434,331,2021-05-06,357,506,505300
435,352,2023-07-07,609,302,477774
436,308,2022-10-22,436,10,933556
437,581,2019-12-08,925,539,385369
438,852,2023-04-06,692,345,956571
439,586,2020-09-16,550,774,591801
440,736,2023-06-15,366,461,270991
441,361,2023-11-29,150,808,586585
442,85,2020-09-08,303,577,712169
443,987,2022-03-22,590,861,704818
444,682,2023-04-25,108,222,933620
445,623,2021-06-28,71,112,237664
446,358,2021-02-27,659,608,882246
447,582,2021-05-31,156,654,781539
448,883,2022-01-15,533,982,577987
449,183,2021-05-04,47,298,339819
450,531,2022-02-20,238,595,828194
451,368,2023-08-20,788,922,496468
452,144,2022-03-05,101,833,717396
453,720,2021-08-21,109,933,261679
454,247,2021-01-01,79,52,470752
455,484,2024-02-07,743,716,444911
456,841,2023-09-14,876,957,749852
457,696,2020-04-03,267,971,430675
458,674,2020-06-03,123,167,256755
459,165,2021-05-21,162,210,298302
460,638,2021-02-20,822,392,567782
461,772,2022-05-29,78,221,831762
462,7,2021-03-13,38,862,290534
463,262,2022-07-22,931,315,503289
464,464,2021-05-19,14,999,938359
465,933,2020-02-17,594,311,424328
466,445,2020-06-18,271,58,590837
467,755,2019-08-30,309,98,813396
468,344,2021-06-10,132,738,565735
469,13,2021-06-27,359,433,602542
470,775,2022-09-17,157,941,317996
471,51,2023-07-05,270,292,531072
472,712,2020-01-08,403,921,473938
473,431,2022-04-24,926,746,459009
474,26,2024-01-01,698,794,298076
475,654,2023-10-12,869,950,293901
476,834,2020-07-16,174,7,511741
477,346,2023-11-15,379,484,420826
478,525,2021-04-26,694,868,352673
479,306,2022-04-18,41,185,604562
480,609,2021-09-01,521,35,953400
481,118,2020-11-09,467,90,891878
482,964,2019-05-20,46,811,527461
483,667,2020-09-05,221,848,978955
484,54,2024-03-26,878,396,179086
485,887,2021-04-19,148,383,173931
486,734,2021-02-09,153,616,639622
487,866,2020-09-10,160,914,724313
488,81,2021-07-14,675,951,665003
489,671,2020-07-03,305,370,516854
490,632,2020-11-11,344,120,960351
491,763,2023-07-07,289,912,404092
492,561,2021-01-20,684,511,163501
493,735,2020-09-12,525,126,300371
494,4,2023-10-12,808,275,809543
495,812,2022-06-02,176,481,967818
496,538,2022-05-09,619,953,799182
497,388,2023-02-08,52,890,774203
498,981,2023-11-03,262,164,228719
499,635,2021-06-22,137,436,935064
500,143,2023-12-19,23,244,895796
501,668,2023-01-02,995,472,315891
502,251,2021-12-24,784,713,534372
503,681,2021-11-24,830,545,500980
504,435,2020-08-05,346,813,261003
505,606,2019-04-04,351,909,832534
506,185,2023-06-18,783,752,538298
507,748,2019-12-06,341,203,499929
508,909,2022-01-13,697,427,151497
509,641,2021-10-28,325,842,990118
510,642,2019-12-29,924,754,819285
511,43,2023-12-06,850,100,626481
512,555,2020-08-07,300,929,577014
513,918,2023-06-10,459,619,568181
514,226,2019-11-09,365,404,315407
515,947,2022-05-13,295,339,545722
516,874,2023-04-26,585,688,727675
517,209,2021-06-08,202,40,583464
518,750,2024-02-25,149,352,895233
519,951,2019-09-13,786,220,823218
520,497,2020-11-02,922,825,156691
521,853,2023-02-10,733,915,338925
522,227,2021-01-20,556,707,269192
523,287,2019-11-15,598,468,351313
524,354,2021-10-18,369,39,581406
525,269,2022-06-13,897,32,982491
526,335,2021-06-15,463,174,287173
527,574,2020-07-10,520,917,443813
528,840,2019-08-31,178,591,855015
529,425,2021-04-20,989,798,350268
530,675,2023-02-24,17,946,355060
531,451,2023-05-16,644,841,384756
532,294,2020-11-30,20,333,503327
533,846,2019-07-14,460,183,486299
534,163,2022-07-11,282,494,672064
535,618,2021-05-02,942,434,399398
536,836,2022-07-02,766,241,896959
537,991,2019-06-02,661,863,754874
538,166,2021-07-15,151,470,204879
539,421,2023-02-16,935,763,721052
540,962,2023-05-20,566,362,864908
541,966,2023-06-28,803,283,560262
542,418,2021-10-24,915,644,892201
543,172,2021-11-25,58,925,298959
544,556,2021-08-22,955,693,365460
545,1,2022-08-20,505,483,863603
546,338,2024-05-04,59,127,584203
547,149,2020-05-12,32,122,216572
548,880,2019-10-12,494,13,801018
549,587,2021-12-16,397,603,514826
550,819,2019-12-02,887,264,203957
551,801,2023-02-24,55,563,695469
552,396,2024-01-06,94,251,459736
553,550,2020-05-02,194,428,798406
554,138,2022-03-30,553,777,483659
555,685,2024-01-19,225,225,206577
556,832,2023-04-23,702,926,378762
557,535,2020-11-23,377,376,744397
558,727,2021-10-28,890,338,825958
559,400,2021-09-17,912,74,231843
560,47,2023-09-01,540,939,741011
561,980,2019-11-10,243,680,587899
562,833,2020-07-09,666,661,316106
563,563,2023-05-28,54,884,583665
564,48,2023-04-11,416,510,313895
565,804,2024-03-07,164,108,170402
566,813,2023-02-17,42,457,959540
567,68,2019-07-23,347,389,819719
568,740,2021-02-21,919,891,827085
569,872,2020-04-08,860,838,986640
570,63,2022-01-10,672,26,869660
571,386,2022-10-24,281,317,392115
572,349,2021-01-04,816,592,911748
573,761,2021-03-23,126,930,167086
574,573,2021-03-24,538,415,507966
575,900,2021-09-30,155,231,233425
576,850,2023-03-24,571,623,817243
577,383,2020-06-05,180,552,597572
578,117,2019-11-06,232,812,767409
579,59,2023-08-09,449,271,608402
580,863,2022-07-27,130,118,989282
581,67,2022-11-21,331,503,558550
582,270,2024-01-13,317,666,172889
583,543,2024-03-19,105,502,222413
584,591,2022-02-02,881,630,889943
585,369,2023-10-16,787,68,539150
586,404,2024-05-07,350,531,956330
587,579,2023-04-25,607,444,497731
588,882,2022-01-15,382,621,434248
589,330,2024-01-23,575,51,849733
590,174,2020-06-23,111,517,500480
591,747,2022-07-02,472,678,396057
592,564,2023-02-03,767,153,457535
593,220,2023-02-12,146,984,167718
594,345,2020-05-02,735,662,955365
595,928,2022-09-29,988,208,209939
596,190,2021-07-08,22,29,547806
597,942,2019-09-05,957,384,511541
598,320,2023-07-27,769,542,986280
599,726,2020-01-16,73,287,336670
600,588,2024-01-21,983,927,452283
601,932,2020-06-29,749,160,493279
602,831,2023-12-01,812,536,764203
603,379,2021-05-31,501,724,812653
604,901,2019-11-09,314,248,754040
605,679,2021-04-30,998,305,844662
606,64,2020-08-24,199,998,922869
607,692,2019-09-19,886,797,758288
608,462,2020-08-01,969,893,905121
609,851,2022-11-16,807,407,600247
610,806,2022-04-15,635,705,300126
611,407,2020-06-20,997,489,630460
612,155,2023-03-22,806,975,938224
613,924,2020-02-21,214,171,431595
614,382,2019-12-17,776,175,532980
615,362,2021-06-16,499,514,925935
616,429,2021-02-06,559,211,409220
617,539,2022-02-16,871,219,940368
618,903,2021-08-10,227,758,277087
619,771,2023-11-10,280,593,290079
620,105,2021-04-18,163,306,520681
621,467,2021-01-28,601,789,603113
622,478,2021-03-07,911,677,620336
623,334,2020-04-21,859,458,309877
624,792,2020-06-19,482,411,845760
625,960,2024-01-10,37,675,988762
626,381,2022-01-08,83,445,640605
627,647,2022-10-24,458,541,321275
628,150,2019-09-30,841,970,508646
629,657,2022-03-01,861,985,366202
630,415,2021-04-23,710,544,855439
631,592,2021-01-08,10,356,385605
632,434,2020-10-27,228,25,225541
633,816,2021-02-25,51,569,492195
634,228,2020-04-30,451,226,922601
635,822,2022-03-08,686,588,825506
636,370,2023-07-14,200,786,718044
637,930,2019-08-20,838,492,925218
638,533,2022-07-01,858,767,604737
639,24,2019-10-09,920,961,440971
640,318,2020-02-14,287,776,391394
641,25,2021-05-04,583,880,608351
642,245,2020-05-29,144,316,164262
643,137,2021-01-10,799,556,487822
644,871,2019-12-30,591,402,154166
645,378,2020-03-15,626,682,766094
646,280,2024-05-20,586,520,320751
647,21,2020-05-05,321,740,780898
648,722,2021-08-18,444,429,217722
649,377,2023-07-28,649,442,305761
650,56,2022-10-24,393,847,192293
651,433,2019-06-24,917,69,201141
652,459,2021-11-17,751,409,687746
653,752,2024-01-10,759,692,580283
654,795,2020-06-30,966,857,517096
655,274,2020-11-01,895,92,705906
656,517,2019-05-03,297,367,704982
657,333,2022-12-11,592,413,353232
658,8,2020-01-31,854,136,253855
659,145,2023-11-27,909,390,844941
660,231,2022-11-21,943,372,969513
661,140,2023-02-14,641,113,185526
662,207,2021-06-14,677,364,677701
663,1000,2022-04-30,432,996,479760
664,384,2021-11-08,338,134,675378
665,309,2019-08-28,680,887,564762
666,767,2020-09-06,256,988,741231
667,255,2022-08-19,406,49,328014
668,69,2022-05-30,605,217,308525
669,695,2020-04-12,128,523,545227
670,441,2023-09-23,932,146,662476
671,785,2023-08-23,832,877,517212
672,953,2020-02-29,421,490,814739
673,132,2022-08-27,814,989,498441
674,719,2022-01-03,84,679,192391
675,55,2023-02-25,703,380,859236
676,186,2022-07-25,381,965,318726
677,212,2023-09-20,669,980,808442
678,477,2022-05-16,457,278,319379
679,731,2021-12-05,581,83,326144
680,705,2022-02-13,440,878,781032
681,17,2023-02-28,340,881,457458
682,624,2023-05-15,2,981,722691
683,878,2020-07-04,933,22,723612
684,665,2019-09-24,610,229,490556
685,374,2023-02-02,89,322,907392
686,96,2022-07-03,606,414,700383
687,600,2020-09-08,882,45,677826
688,912,2020-01-19,726,289,303935
689,229,2022-03-05,791,331,917728
690,597,2021-11-11,748,81,195934
691,793,2021-05-04,469,734,611496
692,554,2020-12-15,269,499,772920
693,496,2021-11-21,580,408,269404
694,824,2021-04-14,263,549,843092
695,321,2023-12-09,964,129,326280
696,60,2023-07-25,622,466,817389
697,256,2023-10-02,18,712,585099
698,397,2024-01-07,400,698,783160
699,643,2024-01-04,840,843,400371
700,408,2019-09-07,742,342,790748
701,789,2021-08-17,81,435,536286
702,216,2023-12-26,750,853,849149
703,357,2020-02-06,443,986,190718
704,131,2024-04-04,913,973,946009
705,560,2022-06-06,549,400,617755
706,507,2019-10-05,189,328,741389
707,104,2022-07-06,375,318,729218
708,153,2019-08-26,785,286,789904
709,436,2022-01-25,993,756,596111
710,678,2020-01-20,57,272,417085
711,859,2023-07-29,324,602,686755
712,724,2019-08-08,541,653,288639
713,474,2020-05-19,611,420,690918
714,937,2020-04-21,368,745,364229
715,885,2019-06-07,478,836,670168
716,782,2023-01-08,664,699,684556
717,697,2020-08-16,495,430,490663
718,583,2021-06-20,114,303,152127
719,941,2022-06-17,254,667,518206
720,50,2022-05-05,872,972,641501
721,516,2020-09-22,197,954,558284
722,934,2020-06-16,244,138,645171
723,49,2021-10-30,177,60,371542
724,907,2023-04-12,121,201,343190
725,83,2021-12-04,337,924,651270
726,158,2022-06-25,234,844,743593
727,717,2023-07-05,205,182,997927
728,649,2022-10-16,717,831,386535
729,518,2019-06-17,385,854,480949
730,797,2023-11-02,242,641,630320
731,34,2022-01-22,630,388,958236
732,725,2020-09-14,273,555,515926
733,715,2023-07-30,276,696,445064
734,401,2022-03-30,842,12,184139
735,622,2024-04-14,699,424,835173
736,566,2020-01-14,632,242,389888
737,31,2020-04-30,652,473,569879
738,91,2021-08-06,135,828,673054
739,326,2023-03-28,420,31,887033
740,342,2021-06-12,551,968,294133
741,664,2023-09-02,834,706,940586
742,608,2020-07-08,154,437,348265
743,540,2022-01-14,367,896,973989
744,501,2021-02-08,313,87,204879
745,447,2020-09-10,117,518,245620
746,332,2022-01-08,152,768,420665
747,97,2024-04-07,322,216,713577
748,82,2022-12-19,578,651,151033
749,700,2019-08-02,568,992,832909
750,471,2021-11-06,524,387,186740
751,405,2020-09-17,965,67,767179
752,114,2022-12-14,532,104,762008
753,656,2020-09-18,487,239,844154
754,460,2023-08-19,863,91,576866
755,857,2024-03-18,681,823,867799
756,458,2021-06-30,138,865,209190
757,246,2023-06-20,758,412,926502
758,182,2023-01-22,678,469,720183
759,935,2021-06-24,638,325,508831
760,39,2023-10-06,800,650,442967
761,71,2019-07-27,991,485,981956
762,578,2022-07-01,941,212,294548
763,439,2023-07-26,217,761,879562
764,651,2021-11-20,809,114,911484
765,129,2022-10-12,536,566,445035
766,978,2024-04-19,190,801,788665
767,296,2019-11-05,468,527,334902
768,72,2023-04-26,896,257,662528
769,704,2020-07-29,918,796,534310
770,910,2021-01-07,481,324,503135
771,204,2020-03-11,544,560,913479
772,80,2023-10-06,302,969,925703
773,954,2020-02-04,528,851,403596
774,171,2020-01-15,239,334,344505
