commission_id,commission_rate,commission_amount,payment_method,payment_date
100,2.1,43846,Cash,12/5/2020
101,4.7,24290,Cash,2/14/2023
102,2.0,5341,Cheque,3/25/2021
103,5.1,6130,Pay Order,12/10/2019
104,2.9,21772,Draft,12/25/2020
105,2.5,33378,Draft,11/8/2022
106,3.0,5352,EFT,8/28/2021
107,3.1,962,Draft,6/23/2019
108,4.6,1865,Cash,7/5/2023
109,3.2,15842,Pay Order,5/3/2020
110,4.3,42939,Draft,6/13/2023
111,3.4,20379,Pay Order,9/29/2019
112,3.9,43841,EFT,3/13/2022
113,3.1,48910,EFT,7/10/2021
114,2.8,37518,Cheque,8/9/2019
115,3.1,16737,Draft,8/4/2022
116,3.9,5436,EFT,7/18/2019
117,3.5,36231,Draft,9/21/2019
118,4.1,6490,Cheque,5/1/2019
119,3.9,45521,Cheque,4/17/2023
120,3.6,2744,Cash,6/20/2021
121,5.8,39937,EFT,8/9/2022
122,2.8,27041,Cash,10/10/2020
123,2.6,48716,EFT,9/23/2023
124,5.1,47216,Pay Order,12/14/2021
125,4.8,44651,Pay Order,12/11/2023
126,4.5,45666,EFT,9/5/2023
127,3.1,4248,Cheque,8/23/2023
128,4.7,37524,Cheque,10/1/2020
129,4.9,19278,Cash,7/30/2020
130,4.9,21801,Draft,11/23/2023
131,2.8,9862,Cash,10/23/2023
132,,18488,Pay Order,2/10/2023
133,3.5,13758,EFT,8/28/2019
134,4.2,45578,Cheque,11/24/2019
135,2.9,8523,Pay Order,8/3/2022
136,2.6,17905,Cash,5/4/2023
137,4.6,20414,Cheque,5/30/2019
138,2.1,17455,Cash,11/2/2023
139,2.2,34176,Cheque,11/28/2023
140,4.3,24826,Pay Order,3/4/2020
141,5.2,41805,Cash,10/27/2020
142,,7344,Draft,10/11/2021
143,2.8,14311,Cheque,12/12/2023
144,4.5,43850,EFT,1/17/2019
145,5.9,11212,Cash,4/19/2022
146,4.0,19978,EFT,12/27/2022
147,2.9,20846,Cheque,8/14/2019
148,4.3,29088,Draft,8/19/2023
149,3.2,30331,EFT,11/5/2022
150,,33522,EFT,3/30/2020
151,3.1,39277,Cheque,1/20/2022
152,2.5,11285,Pay Order,7/7/2019
153,,38708,Cash,9/18/2020
154,,16633,Pay Order,10/12/2020
155,2.2,22250,Draft,6/8/2021
156,3.2,12042,Cheque,3/2/2020
157,4.5,34019,Cheque,12/23/2021
158,4.6,45912,Cash,12/16/2023
159,4.9,49645,Cheque,9/24/2021
160,2.2,37327,Draft,11/24/2020
161,5.6,31918,EFT,5/20/2022
162,3.6,13804,Pay Order,4/6/2021
163,4.9,19575,Draft,1/27/2021
164,2.4,27691,Pay Order,2/2/2020
165,2.3,34548,Cash,8/11/2019
166,2.8,11454,Pay Order,7/16/2021
167,5.3,8020,Cash,6/6/2022
168,3.7,16148,Draft,10/17/2019
169,5.3,47114,Cheque,2/12/2019
170,3.4,28729,Draft,2/13/2019
171,3.6,48752,Cash,7/10/2021
172,4.7,7487,Draft,12/31/2022
173,5.1,1054,Cheque,12/28/2022
174,,35410,EFT,12/10/2019
175,5.6,13067,Pay Order,4/9/2020
176,,37810,Draft,4/9/2022
177,5.3,15698,Pay Order,11/3/2022
178,5.0,3930,Cash,1/19/2023
179,5.0,22780,Pay Order,6/24/2021
180,4.4,5737,Cash,5/24/2021
181,2.6,24325,Draft,7/7/2022
182,2.7,8902,EFT,8/28/2021
183,2.3,21610,Cash,9/27/2019
184,3.5,20018,Draft,10/30/2021
185,5.3,6448,Pay Order,11/29/2022
186,4.6,29180,Cheque,12/27/2019
187,2.8,25161,Cash,9/6/2022
188,2.1,9472,EFT,3/9/2022
189,6.0,19487,Draft,10/19/2019
190,5.0,38243,Cheque,10/3/2019
191,3.3,27232,EFT,7/20/2020
192,3.1,8131,Cash,4/14/2022
193,,20193,EFT,2/4/2020
194,2.7,17116,Pay Order,1/29/2022
195,,16085,Cheque,7/31/2019
196,4.9,5970,EFT,1/13/2019
197,4.6,18660,Draft,8/9/2019
198,4.2,29379,Cheque,9/2/2022
199,4.1,25494,EFT,8/1/2019
200,4.5,49072,Draft,8/1/2023
201,3.6,38361,Pay Order,2/8/2020
202,5.1,16281,Draft,12/21/2021
203,4.7,7035,Cheque,5/4/2022
204,2.5,30142,Draft,10/6/2022
205,2.4,39839,Cash,3/13/2021
206,5.4,38072,Draft,8/15/2023
207,3.1,27686,Pay Order,10/31/2022
208,3.9,35403,EFT,5/16/2021
209,3.9,36094,Cash,5/9/2023
210,2.4,12282,Cash,8/2/2021
211,5.1,18433,EFT,3/5/2019
212,2.1,5929,Cash,2/6/2023
213,5.4,28226,Cash,4/15/2020
214,2.5,7987,EFT,11/26/2019
215,3.3,37975,Cash,8/24/2022
216,5.2,36687,EFT,5/31/2022
217,4.5,28877,Cash,4/19/2023
218,5.3,19215,Pay Order,10/13/2019
219,,30962,Pay Order,3/19/2019
220,,12752,Draft,9/23/2019
221,5.9,33105,Cheque,11/2/2021
222,2.4,7127,Pay Order,4/16/2020
223,5.9,5224,Draft,10/21/2020
224,2.4,2909,Draft,4/20/2020
225,5.0,48637,Draft,1/8/2023
226,2.2,37067,Cheque,6/11/2021
227,3.8,2902,Draft,4/3/2023
228,3.9,16803,EFT,11/21/2023
229,3.5,40128,Draft,2/2/2020
230,3.7,34886,Cash,9/1/2022
231,5.8,39498,Pay Order,8/18/2020
232,5.0,12644,Cash,3/15/2022
233,5.6,26542,EFT,3/18/2023
234,5.7,21110,Pay Order,12/13/2020
235,,17626,EFT,1/8/2019
236,4.3,12723,Cash,9/10/2022
237,4.1,21819,Pay Order,2/27/2023
238,5.6,18943,Cheque,9/4/2019
239,4.3,19250,Cheque,2/27/2020
240,4.2,46423,Cheque,2/11/2021
241,5.6,9646,Pay Order,10/3/2019
242,2.7,45424,Cash,10/15/2019
243,2.4,15241,EFT,10/9/2020
244,5.7,35075,Cheque,10/22/2022
245,5.1,25530,Pay Order,5/16/2020
246,5.7,35138,Pay Order,10/12/2021
247,5.1,27953,Draft,6/23/2019
248,4.0,48544,Cheque,10/29/2019
249,3.8,7938,EFT,8/1/2019
250,4.6,13454,Cash,1/26/2019
251,5.0,25100,Pay Order,3/17/2020
252,,30785,Pay Order,7/17/2022
253,,14603,Cash,10/16/2022
254,2.5,41421,Pay Order,8/13/2021
255,4.6,25644,EFT,4/19/2021
256,2.3,48921,Cheque,2/16/2023
257,2.6,13840,Pay Order,3/29/2019
258,5.7,34603,Cash,1/20/2021
259,2.3,30079,Pay Order,4/8/2023
260,3.3,30272,EFT,12/21/2023
261,2.7,8209,Pay Order,12/24/2021
262,2.4,1106,Cash,2/12/2021
263,2.5,15513,Cheque,12/17/2021
264,3.2,26806,Cheque,9/11/2019
265,3.6,11406,Cash,1/8/2019
266,3.9,1911,Pay Order,4/25/2019
267,5.0,12915,Cash,11/17/2022
268,4.8,33026,EFT,10/5/2019
269,,11828,Draft,9/21/2020
270,5.8,39780,Cheque,7/4/2019
271,2.9,34988,Pay Order,5/27/2020
272,4.1,20439,Cheque,6/4/2021
273,2.7,18447,EFT,1/22/2019
274,4.1,33578,EFT,5/1/2020
275,3.6,28711,Pay Order,2/6/2020
276,4.1,33694,Draft,9/22/2023
277,5.3,24914,EFT,9/7/2021
278,3.7,10476,Draft,8/17/2019
279,4.8,10230,EFT,1/24/2022
280,2.0,24644,Cash,9/24/2020
281,2.6,29006,EFT,1/11/2022
282,4.6,27636,Cheque,4/24/2023
283,2.6,15777,Pay Order,10/28/2023
284,5.8,35976,Draft,7/13/2023
285,4.6,18436,Draft,9/11/2021
286,4.4,25923,Cheque,6/11/2023
287,3.3,46420,Draft,8/25/2022
288,2.4,39082,Pay Order,7/2/2020
289,3.2,16278,Cash,9/20/2020
290,3.9,19489,Cash,2/15/2019
291,4.4,21553,Pay Order,8/20/2022
292,3.1,15377,Cheque,6/15/2022
293,,48459,Cash,12/12/2020
294,2.9,45075,Pay Order,2/18/2021
295,2.1,20823,EFT,6/29/2021
296,5.1,49299,Pay Order,1/12/2023
297,2.9,38204,Cash,11/8/2021
298,5.0,22282,Cheque,3/2/2021
299,3.7,26323,Cheque,1/16/2019
300,2.4,45490,Draft,12/24/2023
301,5.8,17983,EFT,12/21/2021
302,3.6,8700,Cheque,6/25/2020
303,5.0,6577,Pay Order,11/12/2023
304,,34362,Draft,2/1/2021
305,3.5,16318,Pay Order,1/22/2020
306,5.6,2804,Cheque,9/5/2022
307,4.9,22785,Draft,12/20/2022
308,4.1,33371,EFT,8/21/2023
309,5.8,42865,Draft,9/26/2021
310,4.7,12251,Cheque,8/5/2023
311,2.9,37176,Draft,12/25/2023
312,5.6,16478,Cash,8/2/2020
313,3.0,43605,EFT,7/24/2020
314,,19616,Cheque,2/11/2019
315,4.4,41311,Draft,11/12/2023
316,4.4,29417,EFT,10/30/2023
317,3.9,32899,Cheque,9/11/2022
318,2.6,22095,Pay Order,5/7/2019
319,,43623,EFT,1/3/2022
320,,26507,Cheque,7/29/2020
321,4.4,36432,Pay Order,6/17/2022
322,4.1,25278,Pay Order,9/2/2023
323,,25248,Cheque,5/28/2022
324,3.0,23054,Cheque,9/7/2023
325,,47563,EFT,4/7/2021
326,5.8,18893,Cash,4/22/2021
327,5.0,34010,EFT,4/4/2020
328,,41796,Cheque,3/12/2022
329,3.5,24442,EFT,7/29/2023
330,,40283,Cheque,5/8/2023
331,5.1,11896,Cheque,1/28/2021
332,,4577,Draft,5/29/2019
333,4.1,5993,Pay Order,10/2/2022
334,5.6,41082,Cash,7/23/2019
335,3.6,5721,Cash,8/20/2020
336,4.8,15945,Pay Order,3/31/2020
337,3.3,39089,Cheque,3/26/2019
338,3.5,49265,Cash,12/13/2019
339,5.8,3253,Pay Order,4/24/2021
340,,47027,Cheque,10/26/2021
341,3.0,35299,Pay Order,8/22/2022
342,5.0,32093,EFT,12/3/2022
343,2.1,6212,EFT,3/7/2022
344,,22584,Cash,6/28/2020
345,2.1,41730,Cash,11/6/2020
346,4.0,15735,EFT,7/31/2023
347,2.6,43910,EFT,9/28/2023
348,3.6,47238,Cheque,9/15/2021
349,3.6,49893,EFT,4/25/2019
350,2.3,40647,Cash,9/10/2019
351,4.5,44270,Pay Order,1/3/2023
352,5.3,37843,Draft,7/15/2021
353,5.1,27511,Cash,6/4/2019
354,3.1,35372,Draft,5/29/2019
355,4.3,47659,Draft,9/9/2022
356,3.9,26435,Pay Order,7/10/2019
357,2.1,31836,Pay Order,6/22/2023
358,2.8,9005,Cheque,3/11/2023
359,4.8,12808,Cheque,1/7/2020
360,3.2,23612,Cheque,12/19/2021
361,3.0,27612,Cheque,1/6/2023
362,2.4,40653,Draft,3/22/2019
363,4.8,39295,Cash,4/24/2023
364,4.8,6539,Cheque,1/29/2023
365,5.0,25849,EFT,7/2/2023
366,,32880,Draft,6/22/2020
367,4.7,46161,Cheque,7/9/2023
368,5.2,30492,Cash,10/24/2023
369,5.7,35814,Cash,3/24/2021
370,5.1,4519,Cheque,12/4/2023
371,4.7,20914,Draft,1/30/2022
372,2.0,21683,EFT,2/6/2020
373,4.2,41002,Cash,8/25/2022
374,,6875,Draft,10/10/2023
375,5.4,28727,Draft,3/28/2020
376,,37710,Pay Order,10/5/2023
377,5.7,18847,Draft,7/14/2022
378,2.9,24008,Cheque,9/27/2021
379,4.5,3160,EFT,4/3/2020
380,4.8,42069,EFT,7/31/2023
381,2.3,21430,Cheque,5/12/2023
382,2.2,24039,Cheque,7/12/2021
383,4.8,9997,Draft,11/30/2019
384,,9415,Draft,9/6/2022
385,4.7,26084,Pay Order,5/19/2020
386,3.8,48129,EFT,4/2/2023
387,6.0,49206,EFT,12/18/2022
388,3.4,12554,Pay Order,6/16/2023
389,2.3,2678,Draft,5/11/2020
390,2.9,32057,Cheque,7/12/2019
391,3.8,1658,EFT,11/6/2020
392,5.6,1025,Cash,1/26/2022
393,2.4,12777,Cash,10/31/2023
394,4.5,42979,Pay Order,10/25/2020
395,3.9,37581,Cash,7/24/2021
396,,17884,EFT,4/15/2023
397,2.3,31710,Pay Order,2/18/2021
398,4.6,10728,EFT,12/2/2020
399,2.8,24550,Pay Order,7/27/2022
400,4.7,48837,EFT,12/30/2019
401,4.2,17340,Cash,11/27/2020
402,3.9,6761,EFT,5/13/2020
403,3.2,26728,EFT,2/10/2022
404,5.7,15183,Cash,11/6/2020
405,4.9,14292,Draft,7/27/2020
406,,27632,Pay Order,7/20/2019
407,2.6,15128,Pay Order,8/18/2023
408,,29500,Cheque,11/5/2021
409,5.2,26570,Cash,7/28/2022
410,4.2,22012,Cheque,5/27/2021
411,5.3,47208,Cheque,9/6/2020
412,3.1,12356,Cheque,12/11/2023
413,3.1,47608,Cash,6/10/2023
414,5.8,49828,Draft,1/2/2023
415,3.8,48012,Pay Order,3/5/2019
416,2.3,32915,Cash,9/20/2021
417,2.5,46998,Draft,6/23/2023
418,3.2,33881,EFT,5/29/2021
419,3.0,21844,Cash,1/18/2019
420,2.3,34167,Cash,4/27/2021
421,5.8,33682,Pay Order,10/6/2019
422,3.5,16640,Draft,1/4/2020
423,2.2,8939,Cash,1/5/2019
424,3.9,11981,Draft,9/11/2020
425,5.9,45581,Cash,3/23/2023
426,3.1,31111,Cash,12/4/2021
427,3.0,10586,Cash,7/21/2020
428,3.6,5997,EFT,7/26/2022
429,4.4,23642,Cheque,6/23/2020
430,4.4,46457,Draft,6/27/2022
431,4.5,3036,Cash,3/2/2019
432,2.1,36879,Pay Order,9/21/2022
433,5.9,7739,Cash,2/16/2022
434,5.1,47534,Cash,1/2/2021
435,4.9,15761,Cheque,5/15/2020
436,3.2,8882,EFT,8/10/2022
437,3.9,16112,Cash,2/19/2019
438,4.2,46724,EFT,8/2/2019
439,4.3,15250,Draft,2/11/2020
440,5.5,27847,Cash,8/22/2022
441,5.0,14971,EFT,4/16/2023
442,4.5,41425,EFT,9/2/2021
443,,48787,Cheque,6/13/2022
444,3.1,6280,Draft,1/20/2019
445,4.8,41240,Cheque,8/11/2022
446,4.2,34887,Cash,10/11/2022
447,5.2,2539,Cash,4/16/2019
448,2.7,42456,Cash,10/21/2020
449,3.0,25827,Pay Order,9/15/2023
450,3.6,10247,Draft,4/10/2023
451,4.4,8398,EFT,1/15/2022
452,,25956,Cash,3/27/2022
453,3.7,46873,Draft,3/31/2020
454,3.8,42447,Draft,12/10/2021
455,4.4,25659,Cheque,7/16/2023
456,4.1,39367,Cheque,7/17/2023
457,4.9,32522,Cash,4/16/2021
458,3.7,26252,Cash,12/21/2019
459,4.4,28087,Pay Order,6/12/2021
460,4.0,13718,Draft,2/16/2020
461,3.3,25970,Draft,6/24/2021
462,2.6,49068,Draft,7/5/2020
463,3.8,1643,EFT,10/19/2022
464,5.3,37128,EFT,5/5/2019
465,4.3,44944,Cheque,3/31/2019
466,4.5,4877,EFT,7/26/2019
467,5.6,22347,Cheque,3/13/2021
468,2.9,46020,Pay Order,10/28/2023
469,3.6,8770,Cheque,5/10/2020
470,2.9,48735,Pay Order,7/24/2019
471,4.9,44491,EFT,12/16/2020
472,4.6,3771,EFT,11/6/2022
473,2.3,22319,Pay Order,4/6/2023
474,2.9,20329,Draft,9/10/2019
475,,26632,EFT,12/25/2021
476,2.4,31944,Draft,6/22/2022
477,3.9,19954,Cheque,10/9/2022
478,3.4,42694,Draft,7/16/2021
479,3.3,38541,EFT,9/28/2021
480,4.6,28934,Cash,4/30/2022
481,2.5,15181,EFT,8/21/2021
482,2.3,18247,Pay Order,8/8/2022
483,3.1,45764,Pay Order,12/17/2022
484,3.2,29165,Pay Order,12/30/2019
485,5.9,25494,Pay Order,5/18/2022
486,3.8,38470,Cheque,11/30/2022
487,5.2,44152,Cheque,10/30/2022
488,5.3,9356,EFT,11/2/2022
489,2.1,46249,Cash,8/28/2020
490,4.1,17990,Cash,11/11/2019
491,4.6,48514,Cash,1/11/2021
492,4.0,813,Pay Order,3/5/2019
493,5.9,45195,EFT,3/27/2023
494,2.3,13803,Cheque,6/15/2021
495,5.0,38817,Cash,7/24/2020
496,3.9,27260,EFT,9/1/2023
497,3.1,20115,Cash,12/12/2022
498,4.8,3446,Pay Order,10/4/2023
499,3.8,26830,Cheque,8/8/2021
500,2.5,19387,EFT,12/24/2023
501,4.8,41859,Cash,7/20/2020
502,5.4,38144,Cheque,8/8/2019
503,4.1,18144,Cheque,3/26/2022
504,4.3,30783,EFT,2/19/2023
505,3.9,8166,Pay Order,11/5/2023
506,5.2,37534,Draft,4/14/2021
507,2.3,14957,Cash,1/6/2019
508,2.3,28096,Draft,1/3/2020
509,3.2,38110,EFT,10/28/2021
510,2.4,38099,EFT,3/23/2020
511,4.0,29436,EFT,7/29/2019
512,2.5,21926,Cash,5/11/2022
513,4.2,35212,EFT,1/29/2023
514,3.6,42839,Cash,9/25/2020
515,4.4,21485,Cheque,12/24/2020
516,,26837,Draft,10/28/2023
517,4.0,10283,Draft,9/21/2022
518,2.9,25270,Cash,12/19/2021
519,4.9,48717,Draft,5/1/2022
520,3.5,11674,Draft,8/23/2023
521,4.9,34810,Cash,4/22/2023
522,5.0,27861,EFT,11/28/2019
523,2.2,2569,Cheque,9/24/2023
524,4.5,24731,Cheque,4/5/2022
525,3.5,12064,EFT,6/23/2019
526,4.5,1813,Pay Order,7/7/2022
527,,36056,Pay Order,4/22/2020
528,3.8,47458,Draft,12/15/2022
529,2.2,40945,Cheque,6/13/2021
530,3.4,44170,Cash,8/24/2019
531,5.3,20531,EFT,9/16/2022
532,5.2,931,Cheque,12/2/2020
533,3.4,26140,Pay Order,7/9/2019
534,2.6,42771,Cash,6/18/2019
535,5.0,1051,EFT,4/24/2019
536,3.3,17139,Draft,7/20/2022
537,4.8,45484,EFT,10/29/2021
538,3.2,18341,Draft,2/26/2023
539,2.1,49893,Draft,3/29/2020
540,2.7,16373,EFT,8/16/2019
541,5.7,30197,Cheque,3/12/2022
542,3.9,22295,Draft,4/3/2021
543,5.6,17485,Cheque,4/5/2021
544,3.4,9435,EFT,10/21/2023
545,4.8,19541,Cheque,3/3/2020
546,4.2,7108,Cash,6/14/2021
547,2.8,13786,Cheque,12/24/2023
548,2.3,48000,EFT,12/19/2021
549,4.6,38089,EFT,8/6/2021
550,5.3,46639,EFT,8/3/2022
551,2.7,11961,Cheque,1/18/2022
552,3.7,40476,Cash,12/12/2020
553,4.8,35162,Draft,11/16/2020
554,2.2,27431,Cash,3/5/2023
555,3.0,17260,Pay Order,3/9/2020
556,4.4,49148,Draft,8/13/2020
557,4.9,38895,EFT,5/1/2019
558,4.5,16373,Draft,5/19/2020
559,4.2,18646,Cash,12/14/2023
560,4.2,6323,Cash,3/16/2021
561,3.1,23452,Cheque,4/1/2019
562,3.8,46972,Draft,10/29/2019
563,5.9,12320,Cash,3/16/2020
564,2.3,24400,EFT,1/13/2021
565,2.5,3126,EFT,2/5/2020
566,2.6,49630,Cheque,12/27/2023
567,2.1,41167,Cash,10/6/2022
568,4.5,10202,Draft,1/26/2023
569,2.8,40898,EFT,2/15/2020
570,5.0,41137,EFT,3/15/2019
571,3.6,28204,Draft,3/28/2023
572,2.3,22614,Cheque,11/26/2023
573,6.0,19689,Cash,1/12/2019
574,5.1,23463,Draft,1/21/2022
575,5.0,11891,Cheque,11/21/2021
576,5.9,24879,Pay Order,3/13/2023
577,4.5,33275,Draft,5/12/2022
578,5.7,15822,Draft,1/19/2023
579,4.5,30100,EFT,7/1/2023
580,5.3,33468,Cash,9/5/2021
581,3.7,18816,EFT,5/25/2021
582,2.8,41940,EFT,12/2/2023
583,3.6,12741,Cheque,2/16/2020
584,,40062,Draft,12/14/2021
585,3.0,3527,Cheque,7/19/2020
586,4.6,41524,EFT,7/29/2022
587,5.9,33978,Pay Order,3/29/2023
588,4.0,49756,Pay Order,5/7/2020
589,4.2,42800,EFT,10/25/2020
590,3.7,41369,Cheque,1/11/2023
591,4.7,15439,Cheque,3/23/2022
592,2.3,29042,EFT,11/19/2020
593,3.6,29743,Pay Order,2/8/2023
594,3.2,43084,Cheque,7/30/2022
595,2.5,40787,EFT,5/30/2022
596,5.2,41090,EFT,4/28/2020
597,4.1,34782,Draft,6/19/2023
598,5.5,4658,Cheque,11/3/2020
599,3.7,47761,Cheque,7/21/2022
600,,2408,Pay Order,2/19/2020
601,4.8,34950,Pay Order,5/13/2019
602,5.0,48777,Draft,2/16/2020
603,3.4,44468,Cheque,7/21/2021
604,3.3,46656,Cheque,11/6/2021
605,5.8,31428,Cash,11/30/2021
606,3.2,45845,Cheque,4/1/2023
607,4.1,26453,Pay Order,2/19/2020
608,3.2,35431,EFT,6/30/2020
609,3.3,20756,Draft,4/10/2022
610,3.2,49899,Draft,6/23/2021
611,5.7,29212,EFT,6/3/2020
612,,49800,Cash,2/17/2021
613,4.3,8173,Pay Order,7/4/2022
614,2.1,41326,EFT,2/17/2023
615,2.4,10676,EFT,6/19/2020
616,3.7,10745,Cash,6/13/2019
617,,19067,Cash,12/12/2020
618,3.4,15073,Cheque,8/25/2021
619,,6264,Pay Order,3/18/2021
620,3.1,35875,Cheque,7/24/2021
621,5.7,21349,Draft,12/22/2019
622,,13752,Cheque,7/26/2022
623,4.0,15325,Cash,8/1/2021
624,5.3,17264,EFT,11/2/2022
625,4.3,12490,Pay Order,8/12/2019
626,2.7,30051,Pay Order,12/4/2022
627,5.2,30298,Cash,4/19/2022
628,5.4,43696,Pay Order,9/14/2023
629,3.6,23844,EFT,3/22/2020
630,4.9,17989,Cheque,3/27/2023
631,4.6,24461,EFT,1/11/2022
632,4.0,9779,Pay Order,4/16/2021
633,3.3,30728,Draft,12/1/2021
634,5.5,39447,Pay Order,7/3/2020
635,4.2,45667,Cheque,4/15/2023
636,3.9,46266,Cash,4/1/2020
637,3.8,40147,Cheque,6/2/2020
638,5.3,9223,Cheque,7/3/2023
639,3.3,41027,Draft,3/27/2021
640,2.4,48307,Cash,11/25/2020
641,4.6,14426,Cheque,6/23/2019
642,,9551,Cash,5/17/2022
643,2.4,6005,Cheque,1/5/2022
644,5.9,44830,Cash,4/30/2019
645,5.7,26429,Pay Order,2/6/2020
646,4.5,16571,Pay Order,2/21/2022
647,,27626,Cash,11/5/2020
648,2.9,37517,Draft,6/6/2021
649,2.9,16656,Draft,1/24/2020
650,3.8,12696,Draft,6/24/2021
651,2.9,41414,Pay Order,8/26/2023
652,4.8,10763,Pay Order,3/4/2020
653,2.7,31643,Cash,11/14/2019
654,2.5,2918,Cheque,11/4/2019
655,5.2,35369,EFT,12/12/2020
656,2.0,23344,EFT,6/4/2021
657,5.3,19575,Pay Order,11/9/2022
658,4.6,46501,EFT,3/12/2022
659,2.4,19705,EFT,3/9/2022
660,,4915,EFT,12/27/2023
661,3.5,25953,Cheque,10/21/2019
662,3.3,37190,Cash,12/28/2022
663,,21778,Pay Order,8/15/2021
664,3.5,28558,Cheque,11/17/2020
665,4.6,5335,EFT,9/5/2020
666,4.6,8277,Draft,6/18/2019
667,,38485,EFT,2/1/2022
668,,47070,Pay Order,11/9/2023
669,3.0,32847,Cheque,5/27/2019
670,3.9,9374,Cash,8/29/2019
671,,37178,Cheque,9/19/2019
672,5.7,9848,Draft,1/30/2021
673,2.2,43895,Pay Order,5/6/2023
674,3.8,5487,Draft,5/8/2019
675,3.7,18421,Cash,1/17/2019
676,3.7,20540,EFT,9/25/2022
677,5.3,2218,Draft,6/25/2019
678,5.8,1529,Cash,1/17/2019
679,2.0,17076,Draft,2/28/2020
680,5.0,43702,Pay Order,6/26/2019
681,2.1,13131,Pay Order,4/26/2023
682,3.3,46245,Cheque,12/3/2022
683,3.4,32951,Cheque,9/16/2022
684,4.8,13995,Cheque,9/12/2023
685,4.5,9763,Cheque,2/6/2022
