property_id,address_id,owner_id,agent_id,feature_id,listing_date,listing_type,asking_amount
172,581,987,137,172,7/13/2023,Sale,690708.0
173,369,866,285,173,8/15/2023,Rental,883530.0
174,726,768,57,174,3/5/2020,,971835.0
175,875,185,823,175,7/26/2019,Rental,563827.0
176,661,410,942,176,8/14/2020,Rental,740298.0
177,809,950,430,177,1/21/2020,Sale,537016.0
178,774,514,174,178,5/19/2023,,747459.0
179,187,283,724,179,10/7/2021,Sale,682522.0
180,563,665,885,180,12/28/2022,Sale,765142.0
181,975,360,226,181,12/15/2022,Rental,68726.0
182,885,522,413,182,1/2/2020,Sale,216212.0
183,439,938,834,183,4/1/2021,Sale,
184,460,417,478,184,8/7/2019,Sale,947499.0
185,605,18,455,185,9/21/2020,Rental,577425.0
186,895,184,443,186,6/18/2020,Rental,381599.0
187,840,800,545,187,9/15/2021,Rental,877826.0
188,516,66,624,188,6/24/2019,Rental,730041.0
189,547,574,31,189,6/16/2021,Rental,790199.0
190,123,234,637,190,11/7/2020,Sale,786458.0
191,628,598,861,191,5/3/2020,Sale,949950.0
192,907,650,425,192,6/7/2021,,81833.0
193,212,559,383,193,3/29/2022,Rental,444909.0
194,323,682,219,194,9/18/2021,Sale,222607.0
195,68,218,201,195,3/26/2020,Sale,649022.0
196,340,845,7,196,9/19/2023,Rental,372298.0
197,492,754,657,197,10/24/2021,,704963.0
198,441,921,766,198,10/7/2021,Sale,952521.0
199,47,872,910,199,12/7/2019,,659178.0
200,343,384,274,200,2/20/2020,Sale,115892.0
201,680,246,656,201,5/7/2022,Sale,
202,781,712,641,202,4/4/2021,Rental,493300.0
203,436,979,664,203,8/13/2019,Sale,122223.0
204,382,738,879,204,9/26/2021,Sale,869419.0
205,738,791,241,205,10/30/2023,Rental,475812.0
206,476,438,649,206,2/11/2021,Sale,995084.0
207,617,953,750,207,11/28/2019,,980864.0
208,225,358,709,208,6/4/2020,,431373.0
209,298,674,45,209,4/9/2019,Rental,
210,960,314,531,210,7/20/2023,Sale,34682.0
211,860,233,431,211,8/20/2022,Sale,698762.0
212,18,12,20,212,3/22/2023,Sale,815638.0
213,276,531,579,213,8/28/2019,Sale,182280.0
214,867,925,662,214,7/11/2023,Rental,905306.0
215,422,137,946,215,4/21/2021,Sale,905192.0
216,589,139,259,216,5/16/2023,Sale,996571.0
217,299,289,214,217,9/4/2020,Sale,686187.0
218,54,804,694,218,11/4/2022,Rental,
219,402,153,674,219,7/2/2020,Rental,274472.0
220,566,90,700,220,10/22/2021,Sale,
221,611,313,553,221,10/16/2019,Sale,517224.0
222,734,357,877,222,10/15/2023,Sale,
223,186,753,286,223,6/24/2020,Sale,
224,135,382,62,224,6/17/2022,Sale,106331.0
225,30,798,442,225,7/2/2023,,386133.0
226,936,272,464,226,7/27/2019,Rental,570211.0
227,676,854,683,227,1/10/2021,Sale,133001.0
228,932,984,922,228,12/7/2020,Sale,864214.0
229,377,544,161,229,8/26/2019,Rental,577866.0
230,783,486,895,230,4/25/2020,,317080.0
231,969,93,76,231,12/5/2021,Sale,30403.0
232,501,286,94,232,1/1/2023,,700928.0
233,552,32,152,233,2/16/2023,Sale,618929.0
234,4,577,175,234,3/4/2022,Sale,
235,121,639,82,235,1/11/2021,Sale,692914.0
236,406,704,158,236,2/7/2019,Sale,193448.0
237,173,805,828,237,11/28/2022,Rental,908200.0
238,172,208,626,238,11/5/2021,Sale,
239,67,260,774,239,10/14/2022,Rental,652913.0
240,920,368,943,240,2/15/2021,,606994.0
241,864,571,818,241,1/31/2023,Rental,706376.0
242,679,56,117,242,4/12/2019,Sale,519555.0
243,698,63,671,243,4/11/2022,Sale,
244,868,563,487,244,3/28/2021,Rental,216078.0
245,886,710,179,245,2/19/2022,Sale,619189.0
246,639,42,185,246,1/21/2020,,601361.0
247,777,721,599,247,12/14/2020,,316271.0
248,35,628,1,248,10/17/2020,Sale,789111.0
249,394,211,25,249,9/27/2019,Rental,357328.0
250,418,814,977,250,7/24/2020,Sale,822403.0
251,793,428,815,251,2/14/2019,Sale,704563.0
252,519,345,332,252,5/15/2021,Sale,150932.0
253,782,372,600,253,1/4/2023,Rental,130364.0
254,946,752,69,254,9/12/2023,Sale,213557.0
255,223,330,940,255,7/22/2020,Sale,35020.0
256,602,707,298,256,9/26/2023,Rental,848651.0
257,725,449,71,257,5/21/2020,Sale,336437.0
258,296,35,773,258,12/22/2021,Sale,690808.0
259,806,383,833,259,3/21/2019,,723791.0
260,524,658,350,260,2/13/2020,Sale,546422.0
261,344,990,151,261,5/5/2022,Rental,657775.0
262,506,597,797,262,5/31/2023,,919219.0
263,95,302,788,263,6/23/2022,Rental,211803.0
264,262,747,206,264,9/3/2021,Rental,291609.0
265,804,439,119,265,12/8/2021,,77977.0
266,278,540,973,266,10/16/2023,Sale,226233.0
267,505,280,38,267,4/6/2020,,395222.0
268,464,237,107,268,8/21/2022,Sale,35543.0
269,84,231,870,269,1/4/2023,Sale,970167.0
270,536,84,235,270,4/19/2019,Sale,995222.0
271,724,378,344,271,11/2/2021,Sale,542297.0
272,568,447,680,272,4/11/2020,Rental,716227.0
273,105,351,644,273,8/21/2023,Sale,740652.0
274,321,332,538,274,1/1/2022,Sale,670724.0
275,861,771,806,275,9/13/2020,Rental,
276,281,579,936,276,8/2/2023,Sale,455686.0
277,480,379,698,277,2/14/2020,Rental,355641.0
278,499,334,851,278,11/25/2022,Rental,503914.0
279,989,288,685,279,2/5/2021,Rental,843556.0
280,976,905,490,280,12/6/2019,Rental,20833.0
281,346,64,34,281,5/10/2022,Rental,997625.0
282,959,91,601,282,3/23/2022,Sale,146954.0
283,417,487,196,283,4/18/2022,Rental,567989.0
284,250,11,956,284,6/6/2021,Rental,
285,948,554,70,285,3/17/2023,Rental,
286,199,442,122,286,1/20/2022,Rental,751815.0
287,80,724,168,287,6/22/2019,Sale,
288,983,116,961,288,5/29/2020,Rental,894400.0
289,707,506,366,289,8/22/2021,,566324.0
290,226,667,522,290,3/8/2023,Sale,657435.0
291,79,14,661,291,4/26/2022,,997212.0
292,373,274,273,292,4/30/2021,Rental,117655.0
293,284,819,706,293,1/26/2020,Sale,175662.0
294,712,904,560,294,9/26/2021,,419021.0
295,904,157,660,295,10/26/2022,Rental,892694.0
296,438,686,4,296,12/1/2021,,17195.0
297,185,102,598,297,6/13/2022,Sale,691574.0
298,244,947,471,298,10/18/2020,Rental,527573.0
299,107,245,608,299,6/26/2023,Sale,667629.0
300,201,851,529,300,5/3/2021,Sale,737511.0
301,44,951,971,301,5/14/2021,Rental,287778.0
302,111,474,476,302,7/25/2023,Rental,722276.0
303,177,141,759,303,9/9/2019,Sale,303103.0
304,986,273,530,304,6/6/2019,Sale,787336.0
305,165,481,886,305,3/22/2022,Sale,335767.0
306,988,958,739,306,9/9/2022,Sale,205340.0
307,716,22,368,307,10/8/2022,,184460.0
308,713,445,517,308,4/5/2019,Sale,362815.0
309,316,604,935,309,9/14/2021,,37844.0
310,837,633,894,310,4/9/2023,Rental,456660.0
311,32,732,121,311,11/21/2022,Rental,409617.0
312,385,114,473,312,7/17/2020,Rental,479247.0
313,537,751,681,313,9/11/2021,,438078.0
314,604,126,932,314,11/10/2019,Rental,276163.0
315,289,792,865,315,10/12/2021,Sale,297305.0
316,470,403,304,316,6/22/2023,Rental,
317,940,67,360,317,9/27/2023,Sale,775092.0
318,125,6,352,318,11/26/2021,Rental,474653.0
319,556,415,535,319,6/13/2020,Sale,764338.0
320,5,610,84,320,12/25/2020,,305318.0
321,168,530,737,321,12/17/2023,Rental,325762.0
322,575,150,485,322,2/6/2022,Rental,60125.0
323,623,376,923,323,3/17/2022,Sale,580211.0
324,445,996,980,324,10/11/2023,Sale,248278.0
325,999,821,501,325,4/24/2020,Sale,91721.0
326,612,161,439,326,4/3/2022,Sale,554706.0
327,560,669,255,327,5/9/2021,Sale,
328,169,886,686,328,9/28/2022,Rental,152376.0
329,787,46,284,329,3/21/2019,Rental,355045.0
330,58,240,104,330,3/4/2023,,482440.0
331,759,103,416,331,1/20/2022,Rental,281791.0
332,720,389,380,332,6/9/2019,Rental,365747.0
333,363,892,691,333,9/16/2019,Rental,325539.0
334,404,422,92,334,8/2/2020,Rental,369775.0
335,467,472,66,335,4/6/2021,Sale,260519.0
336,696,691,784,336,4/20/2022,Rental,463623.0
337,260,899,335,337,5/13/2020,Sale,773597.0
338,675,853,251,338,7/6/2019,Rental,669815.0
339,918,659,132,339,5/30/2021,Sale,621150.0
340,374,871,533,340,2/22/2021,,243359.0
341,554,600,14,341,10/28/2023,Rental,894612.0
342,329,120,275,342,3/15/2020,Sale,984109.0
343,493,145,918,343,9/12/2020,,366363.0
344,301,750,181,344,7/26/2022,Sale,32956.0
345,572,259,904,345,1/30/2021,Sale,330020.0
346,354,532,444,346,10/27/2019,Sale,67382.0
347,565,998,54,347,10/10/2020,Sale,360007.0
348,453,317,16,348,6/13/2023,Rental,424024.0
349,20,986,24,349,3/18/2021,Sale,698610.0
350,951,956,28,350,8/18/2019,Sale,86623.0
351,57,295,199,351,4/1/2023,Sale,929217.0
352,578,373,347,352,1/23/2020,,884216.0
353,973,423,208,353,6/20/2022,Rental,658220.0
354,799,15,820,354,10/8/2023,Rental,681942.0
355,140,2,554,355,6/17/2022,Sale,586140.0
356,561,876,257,356,8/12/2020,Rental,967398.0
357,717,182,647,357,8/3/2022,Sale,47530.0
358,252,811,653,358,2/26/2019,Sale,941383.0
359,899,183,250,359,7/20/2019,Sale,297374.0
360,653,75,631,360,7/19/2021,Sale,338358.0
361,944,60,292,361,12/2/2022,Rental,867543.0
362,366,58,803,362,11/16/2021,Rental,582139.0
363,293,596,385,363,7/8/2022,Sale,761632.0
364,668,7,688,364,6/7/2019,Sale,429542.0
365,621,160,958,365,5/2/2020,,391959.0
366,307,535,486,366,12/31/2021,Rental,633580.0
367,130,173,482,367,1/15/2020,Sale,743654.0
368,25,932,310,368,5/22/2019,Rental,706539.0
369,645,430,893,369,2/26/2019,Rental,465665.0
370,247,95,551,370,3/17/2019,Rental,862857.0
371,640,840,112,371,12/10/2023,Sale,425315.0
372,221,264,434,372,3/9/2023,,848029.0
373,664,823,423,373,1/26/2020,,607660.0
374,207,493,768,374,11/8/2021,Sale,665977.0
375,596,863,303,375,1/30/2020,Sale,362396.0
376,663,98,547,376,1/31/2020,Rental,911073.0
377,688,983,735,377,12/28/2023,Rental,858926.0
378,494,341,976,378,2/8/2019,Rental,917434.0
379,954,764,679,379,4/11/2023,Rental,804581.0
380,577,367,73,380,9/25/2023,Sale,805930.0
381,231,959,843,381,1/19/2023,Sale,895506.0
382,203,912,381,382,1/15/2023,Rental,578589.0
383,546,473,260,383,4/28/2022,Rental,496586.0
384,967,491,317,384,4/5/2022,Rental,887986.0
385,205,694,659,385,8/24/2020,,
386,912,492,424,386,10/28/2022,Sale,292035.0
387,178,76,970,387,12/17/2023,Sale,200882.0
388,248,353,27,388,2/1/2023,,689428.0
389,109,61,549,389,4/5/2020,Sale,687717.0
390,456,776,652,390,2/17/2020,Sale,353813.0
391,598,420,990,391,5/27/2019,Rental,793616.0
392,898,461,177,392,4/28/2019,Sale,674654.0
393,956,615,57,393,1/21/2022,Sale,189901.0
394,667,405,880,394,12/24/2020,Sale,679629.0
395,332,364,236,395,7/27/2022,Sale,257128.0
396,370,421,587,396,5/8/2023,Rental,793633.0
397,701,948,501,397,9/10/2022,Sale,499677.0
398,784,837,248,398,1/15/2022,Rental,
399,465,728,833,399,1/15/2023,,945363.0
400,142,807,922,400,9/13/2021,,258971.0
401,684,722,334,401,1/10/2021,Rental,141036.0
402,591,876,60,402,3/11/2020,Sale,815106.0
403,885,677,489,403,12/4/2023,Sale,108208.0
404,392,418,9,404,2/9/2020,Sale,302783.0
405,901,392,222,405,6/4/2022,Rental,216196.0
406,380,108,420,406,9/14/2019,Sale,974221.0
407,967,674,906,407,8/30/2023,Rental,475580.0
408,326,90,682,408,12/22/2023,Rental,605191.0
409,581,268,367,409,12/18/2021,Sale,101880.0
410,843,242,353,410,10/28/2022,Sale,991518.0
411,370,38,73,411,10/20/2022,Sale,691131.0
412,18,715,595,412,11/30/2019,Rental,253897.0
413,231,627,524,413,7/20/2021,Rental,834499.0
414,899,367,872,414,2/7/2023,Rental,347752.0
415,160,781,164,415,4/27/2022,Rental,108331.0
416,80,310,1,416,11/18/2021,Rental,581414.0
417,399,195,425,417,8/31/2023,Rental,188994.0
418,807,519,237,418,12/18/2022,Sale,
419,650,644,13,419,7/22/2021,Rental,248781.0
420,825,373,140,420,6/15/2019,Rental,28280.0
421,493,942,703,421,4/4/2020,Rental,38915.0
422,699,109,209,422,11/5/2020,Sale,908379.0
423,377,765,873,423,11/9/2022,Rental,805575.0
424,661,318,156,424,6/8/2020,Sale,116171.0
425,789,214,186,425,10/25/2020,Sale,597445.0
426,189,530,852,426,8/12/2019,Rental,285134.0
427,884,187,456,427,4/17/2019,Sale,956441.0
428,258,477,688,428,8/17/2022,Sale,
429,547,542,103,429,12/27/2020,Rental,227687.0
430,515,938,77,430,10/28/2023,Sale,756350.0
431,498,294,549,431,3/20/2019,Sale,476205.0
432,608,712,642,432,3/22/2019,Sale,265461.0
433,11,520,399,433,4/22/2022,Rental,
434,632,306,861,434,6/6/2021,Rental,510797.0
435,421,676,387,435,5/27/2020,Rental,840935.0
436,323,191,817,436,7/25/2023,Sale,793151.0
437,375,927,909,437,6/7/2021,Sale,482013.0
438,299,963,910,438,3/22/2020,Rental,657957.0
439,6,843,43,439,1/29/2019,,966562.0
440,778,313,897,440,10/2/2022,Rental,
441,374,303,521,441,5/27/2022,Rental,302190.0
442,473,361,331,442,12/24/2022,Rental,970687.0
443,919,379,193,443,9/5/2020,Rental,
444,433,75,451,444,1/29/2021,Sale,301707.0
445,164,175,88,445,1/20/2021,Rental,200690.0
446,431,170,400,446,5/11/2021,Rental,562054.0
447,675,281,911,447,9/18/2023,,166618.0
448,394,366,48,448,5/2/2022,,636352.0
449,966,946,590,449,3/27/2022,Rental,201708.0
450,357,782,37,450,9/25/2019,Sale,937712.0
451,873,223,298,451,11/11/2021,Rental,201175.0
452,556,603,314,452,2/19/2020,Rental,837238.0
453,513,411,645,453,7/1/2022,Rental,423867.0
454,932,728,490,454,12/19/2023,Rental,93802.0
455,129,682,958,455,5/16/2019,Sale,736868.0
456,933,698,19,456,7/31/2023,,770826.0
457,37,374,470,457,2/15/2022,Sale,313725.0
458,215,871,455,458,9/11/2023,,630895.0
459,72,943,188,459,3/6/2019,Sale,137837.0
460,305,522,874,460,1/15/2019,,302991.0
461,893,309,518,461,1/12/2022,Sale,988488.0
462,770,986,803,462,7/6/2022,Sale,787649.0
463,198,237,260,463,11/11/2020,,179874.0
464,55,156,27,464,4/29/2022,Rental,954117.0
465,9,730,446,465,2/19/2023,Rental,900760.0
466,560,316,362,466,7/1/2020,Sale,453302.0
467,682,981,189,467,1/31/2023,Rental,718052.0
468,881,641,760,468,11/25/2022,Sale,229975.0
469,200,621,797,469,8/18/2021,Rental,848663.0
470,113,656,205,470,8/13/2021,Rental,127154.0
471,83,102,240,471,7/24/2022,Sale,171894.0
472,293,695,824,472,6/29/2022,,200899.0
473,922,914,597,473,9/26/2023,Rental,681186.0
474,480,210,11,474,6/26/2020,Sale,746208.0
475,367,754,3,475,7/25/2020,Rental,347111.0
476,365,120,589,476,5/4/2022,Sale,859033.0
477,860,830,207,477,9/28/2019,,911236.0
478,553,36,133,478,12/11/2021,Sale,41461.0
479,142,776,930,479,10/12/2022,Rental,
480,266,899,568,480,11/22/2023,Sale,213486.0
481,760,921,83,481,10/28/2022,,72449.0
482,775,916,405,482,6/16/2021,Sale,308240.0
483,525,382,277,483,8/15/2023,,772500.0
484,167,31,726,484,1/10/2020,Sale,542883.0
485,637,541,493,485,1/15/2019,,851028.0
486,719,478,683,486,5/23/2022,Rental,784100.0
487,122,416,925,487,7/27/2021,Sale,492352.0
488,85,550,51,488,10/28/2022,Sale,785762.0
489,976,435,751,489,10/28/2021,Sale,139007.0
490,143,918,503,490,8/2/2020,Sale,534413.0
491,596,81,81,491,4/11/2020,Rental,
492,953,895,341,492,5/31/2022,,237408.0
493,558,279,85,493,3/27/2021,Rental,
494,237,933,255,494,12/19/2021,Sale,583023.0
495,223,567,80,495,10/16/2023,,403942.0
496,776,144,814,496,4/6/2019,Sale,329383.0
497,796,161,26,497,5/14/2022,,52976.0
498,98,497,977,498,12/3/2021,,302800.0
499,604,967,416,499,7/29/2019,,302437.0
500,783,894,989,500,4/26/2020,Sale,349812.0
501,229,101,783,501,12/21/2021,Rental,565012.0
502,603,113,28,502,8/14/2022,Sale,291563.0
503,484,278,305,503,9/16/2021,Sale,795333.0
504,687,662,102,504,1/31/2021,Sale,360872.0
505,810,159,923,505,11/22/2019,Rental,766861.0
506,58,513,588,506,5/5/2019,Sale,
507,127,514,398,507,9/19/2019,Sale,677274.0
508,771,483,330,508,7/3/2020,,783914.0
509,914,92,616,509,4/21/2022,Sale,888321.0
510,140,258,948,510,1/31/2021,Rental,271292.0
511,944,878,382,511,3/2/2023,Rental,942687.0
512,123,923,691,512,1/15/2022,Sale,314595.0
513,991,588,839,513,6/3/2019,Rental,610724.0
514,54,626,905,514,7/2/2019,Rental,
515,920,9,610,515,1/15/2022,Sale,
516,986,121,854,516,12/11/2022,Rental,352154.0
517,988,815,84,517,9/3/2019,Rental,193258.0
518,351,131,342,518,6/23/2023,Rental,659517.0
519,350,428,622,519,5/5/2022,Sale,936517.0
520,704,885,560,520,9/25/2021,Rental,
521,180,135,818,521,1/19/2023,Sale,675081.0
522,864,446,828,522,12/31/2021,Sale,
523,436,241,332,523,2/7/2020,Sale,
524,981,355,373,524,2/9/2020,Rental,742945.0
525,529,409,122,525,1/28/2021,Rental,887380.0
526,49,312,955,526,5/7/2023,Sale,665312.0
527,26,211,378,527,11/10/2023,Sale,238457.0
528,393,153,774,528,12/30/2019,Sale,618042.0
529,12,26,650,529,5/19/2021,Rental,761255.0
530,474,957,273,530,3/13/2023,Rental,492818.0
531,816,729,785,531,8/28/2019,Sale,826377.0
532,291,512,281,532,5/8/2019,Rental,300908.0
533,521,780,176,533,2/8/2021,,141184.0
534,934,912,843,534,2/20/2022,Sale,300721.0
535,788,529,677,535,2/13/2020,Sale,613860.0
536,17,802,998,536,7/25/2019,Rental,43507.0
537,982,360,166,537,7/10/2023,Sale,879457.0
538,239,954,447,538,8/31/2021,Rental,546643.0
539,434,290,173,539,5/16/2022,Sale,677359.0
540,128,178,407,540,11/27/2019,Rental,898919.0
541,15,504,308,541,7/6/2023,,710178.0
542,649,73,284,542,10/27/2023,Rental,989511.0
543,748,295,961,543,10/29/2022,Rental,154359.0
544,854,803,671,544,12/7/2021,Sale,796238.0
545,300,99,762,545,4/5/2022,Rental,45544.0
546,175,253,389,546,10/27/2020,Sale,593113.0
547,578,525,807,547,5/1/2020,Sale,918660.0
548,646,499,187,548,12/9/2021,Sale,771716.0
549,102,420,520,549,3/24/2021,Rental,644729.0
550,658,749,864,550,1/26/2019,Rental,980860.0
551,1,107,834,551,7/17/2022,Rental,670743.0
